"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","13-Jan-2016","31-Mar-2016","CE","7500","300.15","314","231.25","302.45","299","302.45","1521","8888.57","332.95","541425","23700","7562.4"
"NIFTY","14-Jan-2016","31-Mar-2016","CE","7500","250","324","243","282.8","285","282.8","684","3986.7","139.2","548025","6600","7536.8"
"NIFTY","15-Jan-2016","31-Mar-2016","CE","7500","280","288","230.3","235.95","238","235.95","353","2056.59","70.97","549225","1200","7437.8"
"NIFTY","18-Jan-2016","31-Mar-2016","CE","7500","240","252","197.6","202.85","200","202.85","1673","9688.36","277.74","587175","37950","7351"
"NIFTY","19-Jan-2016","31-Mar-2016","CE","7500","203","237","200","216.55","219.7","216.55","689","3987.09","111.46","588225","1050","7435.1"
"NIFTY","20-Jan-2016","31-Mar-2016","CE","7500","180","186.65","147.75","165.7","173.6","165.7","2744","15767.45","332.45","696750","108525","7309.3"
"NIFTY","21-Jan-2016","31-Mar-2016","CE","7500","180","199","151.1","160.65","164.25","160.65","3564","20486.78","439.28","758850","62100","7276.8"
"NIFTY","22-Jan-2016","31-Mar-2016","CE","7500","174","217.55","172.05","213.1","213","213.1","3795","21913.87","566.99","837075","78225","7422.45"
"NIFTY","25-Jan-2016","31-Mar-2016","CE","7500","223.65","234","197","207.1","208.9","207.1","1809","10466.71","291.09","846225","9150","7436.15"
"NIFTY","27-Jan-2016","31-Mar-2016","CE","7500","202.3","224.25","197","205.75","204.25","205.75","2102","12157.2","333.45","870675","24450","7437.75"
"NIFTY","28-Jan-2016","31-Mar-2016","CE","7500","204.8","210","192.6","201.5","206","201.5","1373","7932.52","209.4","898875","28200","7424.65"
"NIFTY","29-Jan-2016","31-Mar-2016","CE","7500","205","265","202.75","257.8","261.35","257.8","2516","14592.4","439.9","915075","16200","7563.55"
"NIFTY","01-Feb-2016","31-Mar-2016","CE","7500","267","273.6","242","250.2","244.05","250.2","1952","11360.78","380.78","918675","3600","7555.95"
"NIFTY","02-Feb-2016","31-Mar-2016","CE","7500","245.95","260.35","185","196.05","190","196.05","2382","13798.81","400.06","927225","8550","7455.55"
"NIFTY","03-Feb-2016","31-Mar-2016","CE","7500","159.45","175","149","152.4","150.55","152.4","5398","31023.54","659.79","958725","31500","7361.8"
"NIFTY","04-Feb-2016","31-Mar-2016","CE","7500","169.15","191.45","150","166.95","172.8","166.95","4867","27995.88","619.01","948000","-10725","7404"
"NIFTY","05-Feb-2016","31-Mar-2016","CE","7500","168.45","228","167.9","222.95","228","222.95","4082","23579.55","618.3","988425","40425","7489.1"
"NIFTY","08-Feb-2016","31-Mar-2016","CE","7500","207.65","235.6","161.4","172.1","162","172.1","5896","34073.64","908.64","964500","-23925","7387.25"
"NIFTY","09-Feb-2016","31-Mar-2016","CE","7500","135.05","157.85","131","146.95","148.2","146.95","11646","66789.33","1280.58","1037475","72975","7298.2"
"NIFTY","10-Feb-2016","31-Mar-2016","CE","7500","135.75","138","102","116.35","116.95","116.35","13619","77827.47","1220.59","1112550","75075","7215.7"
"NIFTY","11-Feb-2016","31-Mar-2016","CE","7500","102.15","103.8","59.35","64.75","62.05","64.75","20563","116839.76","1172.89","1139700","27150","6976.35"
