"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","29-Jan-2016","28-Apr-2016","CE","7800","115","158.55","115","153.95","157.35","153.95","501","2984.38","53.53","31425","31425","7563.55"
"NIFTY","01-Feb-2016","28-Apr-2016","CE","7800","151.4","162.9","140.85","144","140.85","144","762","4543.25","85.55","78900","47475","7555.95"
"NIFTY","02-Feb-2016","28-Apr-2016","CE","7800","147","150","105","120.1","106.05","120.1","632","3759.75","62.55","107625","28725","7455.55"
"NIFTY","03-Feb-2016","28-Apr-2016","CE","7800","90","98.05","81.55","85.55","83.8","85.55","143","846.33","9.78","109575","1950","7361.8"
"NIFTY","04-Feb-2016","28-Apr-2016","CE","7800","95.7","102.45","79.15","90.8","94.5","90.8","703","4162.83","50.28","145650","36075","7404"
"NIFTY","05-Feb-2016","28-Apr-2016","CE","7800","91.9","129","91.9","123.35","129","123.35","623","3698.54","53.99","170775","25125","7489.1"
"NIFTY","08-Feb-2016","28-Apr-2016","CE","7800","120","131","89.05","92.8","89.45","92.8","466","2768.25","42.15","183150","12375","7387.25"
"NIFTY","09-Feb-2016","28-Apr-2016","CE","7800","76","85","71.15","78.35","79","78.35","419","2475.45","24.3","184500","1350","7298.2"
"NIFTY","10-Feb-2016","28-Apr-2016","CE","7800","75.35","75.35","55.15","60.9","62","60.9","466","2747.92","21.82","178950","-5550","7215.7"
"NIFTY","11-Feb-2016","28-Apr-2016","CE","7800","54.35","54.35","32.75","34.75","33.4","34.75","1206","7093.26","38.16","168525","-10425","6976.35"
"NIFTY","12-Feb-2016","28-Apr-2016","CE","7800","33.4","36.3","24.4","31.6","31","31.6","834","4897.54","18.64","159225","-9300","6980.95"
"NIFTY","15-Feb-2016","28-Apr-2016","CE","7800","34.6","44.5","34.6","41.5","40","41.5","874","5139.3","26.4","159900","675","7162.95"
"NIFTY","16-Feb-2016","28-Apr-2016","CE","7800","41.45","42","26.2","27.35","26.2","27.35","367","2156.5","9.55","165750","5850","7048.25"
"NIFTY","17-Feb-2016","28-Apr-2016","CE","7800","26.75","31.8","20.4","29.8","31.8","29.8","741","4348.69","13.84","164325","-1425","7108.45"
"NIFTY","18-Feb-2016","28-Apr-2016","CE","7800","34.75","44.15","31.6","39.3","39","39.3","593","3486.14","17.09","171150","6825","7191.75"
"NIFTY","19-Feb-2016","28-Apr-2016","CE","7800","37","41","30.9","36.35","35.75","36.35","4289","25202.01","111.36","416625","245475","7210.75"
"NIFTY","22-Feb-2016","28-Apr-2016","CE","7800","37.55","41.05","32.05","36.6","35.55","36.6","6419","37722.83","171.68","702675","286050","7234.55"
"NIFTY","23-Feb-2016","28-Apr-2016","CE","7800","31.65","32.35","22.6","24","22.6","24","2533","14870.68","52.63","806400","103725","7109.55"
"NIFTY","24-Feb-2016","28-Apr-2016","CE","7800","21.2","21.5","14.25","15.05","15.1","15.05","1177","6900.86","15.41","803850","-2550","7018.7"
"NIFTY","25-Feb-2016","28-Apr-2016","CE","7800","15.65","16.4","11.7","12.2","12.4","12.2","1724","10103.05","17.65","787800","-16050","6970.6"
"NIFTY","26-Feb-2016","28-Apr-2016","CE","7800","14.85","16","11","14.35","14.65","14.35","4428","25949.09","45.29","800700","12900","7029.75"
"NIFTY","29-Feb-2016","28-Apr-2016","CE","7800","14.25","15.25","6.05","10.3","10.95","10.3","5241","30703.64","43.79","806925","6225","6987.05"
"NIFTY","01-Mar-2016","28-Apr-2016","CE","7800","12.35","24.1","11.8","22.3","23.9","22.3","5069","29722.43","68.78","838425","31500","7222.3"
"NIFTY","02-Mar-2016","28-Apr-2016","CE","7800","30","44.9","30","43.25","44.45","43.25","6699","39382.75","193.6","914325","75900","7368.85"
"NIFTY","03-Mar-2016","28-Apr-2016","CE","7800","48.5","57.9","39.25","54.65","54.5","54.65","7011","41264.08","249.73","920850","6525","7475.6"
