"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","13-Jan-2016","25-Feb-2016","CE","7800","85.15","91.7","52","86.4","86","86.4","18205","107487.47","988.22","624375","36975","7562.4"
"NIFTY","14-Jan-2016","25-Feb-2016","CE","7800","59.35","95.05","58","72.75","71.55","72.75","14607","86253.53","802.58","645375","21000","7536.8"
"NIFTY","15-Jan-2016","25-Feb-2016","CE","7800","70.25","76.15","49.85","51.5","52.05","51.5","12708","74932.85","591.05","701325","55950","7437.8"
"NIFTY","18-Jan-2016","25-Feb-2016","CE","7800","49.05","55","33.4","36.6","33.85","36.6","15947","93818.44","528.49","860100","158775","7351"
"NIFTY","19-Jan-2016","25-Feb-2016","CE","7800","37.95","44.9","33.4","35.35","36.4","35.35","16376","96258.31","458.71","1055325","195225","7435.1"
"NIFTY","20-Jan-2016","25-Feb-2016","CE","7800","29.5","29.5","18.6","23.5","25","23.5","20629","121014.74","335.09","1306950","251625","7309.3"
"NIFTY","21-Jan-2016","25-Feb-2016","CE","7800","26.15","31.05","18","20.55","20.25","20.55","22912","134419.52","384.32","1347900","40950","7276.8"
"NIFTY","22-Jan-2016","25-Feb-2016","CE","7800","33.95","34","21.8","31.45","32.15","31.45","23626","138726.69","514.59","1368825","20925","7422.45"
"NIFTY","25-Jan-2016","25-Feb-2016","CE","7800","32.15","37.8","22","23.85","23.05","23.85","25516","149821.13","552.53","1584525","215700","7436.15"
"NIFTY","27-Jan-2016","25-Feb-2016","CE","7800","23","28.9","19.6","22.95","23.35","22.95","33254","195132.76","596.86","1736325","151800","7437.75"
"NIFTY","28-Jan-2016","25-Feb-2016","CE","7800","22.45","24","18.2","20.25","21.5","20.25","37484","219849.58","568.18","2148075","411750","7424.65"
"NIFTY","29-Jan-2016","25-Feb-2016","CE","7800","19.9","34.3","18.8","32.25","33.1","32.25","136819","803099.67","2708.52","2565375","417300","7563.55"
"NIFTY","01-Feb-2016","25-Feb-2016","CE","7800","36.75","38","27.85","30.5","28.25","30.5","151218","888358.48","3733.18","3574650","1009275","7555.95"
"NIFTY","02-Feb-2016","25-Feb-2016","CE","7800","28.55","33.7","15.4","17","15.8","17","228681","1341954.45","4170.6","3796500","221850","7455.55"
"NIFTY","03-Feb-2016","25-Feb-2016","CE","7800","12","12.9","9.05","9.7","9.15","9.7","124180","727476.71","1023.71","3984525","188025","7361.8"
"NIFTY","04-Feb-2016","25-Feb-2016","CE","7800","10.9","12.75","7.4","9.4","10.15","9.4","126264","739621.49","977.09","3952050","-32475","7404"
"NIFTY","05-Feb-2016","25-Feb-2016","CE","7800","10.8","21.6","8.9","19.35","21.4","19.35","161716","947901.7","1863.1","4334100","382050","7489.1"
"NIFTY","08-Feb-2016","25-Feb-2016","CE","7800","17.75","21.55","7.7","9.25","7.95","9.25","153024","896961.02","1770.62","4691550","357450","7387.25"
"NIFTY","09-Feb-2016","25-Feb-2016","CE","7800","6.95","7","5","5.85","6","5.85","130528","764187.46","598.66","3904050","-787500","7298.2"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","7800","5","5.15","3.5","4.3","4.45","4.3","105869","619669.95","336.3","4003500","99450","7215.7"
"NIFTY","11-Feb-2016","25-Feb-2016","CE","7800","4","4","2.5","2.65","2.8","2.65","93492","547132.75","204.55","3490575","-512925","6976.35"
"NIFTY","12-Feb-2016","25-Feb-2016","CE","7800","2.55","3.75","2.15","2.7","2.5","2.7","72253","422816.6","136.55","3150975","-339600","6980.95"
"NIFTY","15-Feb-2016","25-Feb-2016","CE","7800","2.85","2.85","1.4","1.5","1.6","1.5","35062","205157.85","45.15","2810250","-340725","7162.95"
"NIFTY","16-Feb-2016","25-Feb-2016","CE","7800","1.55","1.55","0.85","1.15","1.1","1.15","35722","209001.35","27.65","2670150","-140100","7048.25"
"NIFTY","17-Feb-2016","25-Feb-2016","CE","7800","1.1","1.1","0.75","1.05","1.1","1.05","14304","83688.83","10.43","2476575","-193575","7108.45"
"NIFTY","18-Feb-2016","25-Feb-2016","CE","7800","1.05","1.1","0.8","0.9","0.8","0.9","14144","82752.07","9.67","2386800","-89775","7191.75"
"NIFTY","19-Feb-2016","25-Feb-2016","CE","7800","0.65","0.9","0.65","0.75","0.75","0.75","13355","78134.6","7.85","2330850","-55950","7210.75"
"NIFTY","22-Feb-2016","25-Feb-2016","CE","7800","0.7","0.7","0.5","0.6","0.55","0.6","6808","39829.79","2.99","2211450","-119400","7234.55"
"NIFTY","23-Feb-2016","25-Feb-2016","CE","7800","0.55","0.55","0.3","0.35","0.4","0.35","10409","60895.74","3.09","2172825","-38625","7109.55"
"NIFTY","24-Feb-2016","25-Feb-2016","CE","7800","0.4","0.4","0.2","0.3","0.3","0.3","4066","23786.92",".82","2016600","-156225","7018.7"
"NIFTY","25-Feb-2016","25-Feb-2016","CE","7800","0.05","0.1","0.05","0.05","0.05","0","8246","48239.41",".31","2448375","431775","6970.6"
