"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","13-Jan-2016","30-Jun-2016","CE","8200","100.05","100.05","100.05","100.05","100.05","100.05","1","6.23",".08","29350","0","7562.4"
"NIFTY","14-Jan-2016","30-Jun-2016","CE","8200","0","0","0","100.05","100.05","199.25","0","0","0","29350","0","7536.8"
"NIFTY","15-Jan-2016","30-Jun-2016","CE","8200","83.05","83.05","83.05","83.05","83.05","83.05","1","6.21",".06","29425","75","7437.8"
"NIFTY","18-Jan-2016","30-Jun-2016","CE","8200","0","0","0","83.05","83.05","150.85","0","0","0","29425","0","7351"
"NIFTY","19-Jan-2016","30-Jun-2016","CE","8200","100","100","100","100","100","100","24","149.4","1.8","29425","0","7435.1"
"NIFTY","20-Jan-2016","30-Jun-2016","CE","8200","0","0","0","100","100","159.6","0","0","0","29425","0","7309.3"
"NIFTY","21-Jan-2016","30-Jun-2016","CE","8200","88","88","88","88","88","88","10","62.16",".66","30175","750","7276.8"
"NIFTY","22-Jan-2016","30-Jun-2016","CE","8200","0","0","0","88","88","212.15","0","0","0","30175","0","7422.45"
"NIFTY","25-Jan-2016","30-Jun-2016","CE","8200","0","0","0","88","88","201.75","0","0","0","30175","0","7436.15"
"NIFTY","27-Jan-2016","30-Jun-2016","CE","8200","91","91","91","91","91","91","2","12.44",".14","30175","0","7437.75"
"NIFTY","28-Jan-2016","30-Jun-2016","CE","8200","90","90","90","90","90","90","1","6.22",".07","30175","0","7424.65"
"NIFTY","29-Jan-2016","30-Jun-2016","CE","8200","94.95","98.95","94.95","98.95","98.95","98.95","17","105.78","1.23","30400","225","7563.55"
"NIFTY","01-Feb-2016","30-Jun-2016","CE","8200","93.1","100","93.1","96.55","100","96.55","2","12.44",".14","30400","0","7555.95"
"NIFTY","02-Feb-2016","30-Jun-2016","CE","8200","100.05","100.05","100.05","100.05","100.05","100.05","1","6.23",".08","30400","0","7455.55"
"NIFTY","03-Feb-2016","30-Jun-2016","CE","8200","75","75","75","75","75","75","1","6.21",".06","30400","0","7361.8"
"NIFTY","04-Feb-2016","30-Jun-2016","CE","8200","85","85","85","85","85","85","1","6.21",".06","30475","75","7404"
"NIFTY","05-Feb-2016","30-Jun-2016","CE","8200","0","0","0","85","85","203.4","0","0","0","30475","0","7489.1"
"NIFTY","08-Feb-2016","30-Jun-2016","CE","8200","100.9","100.9","88","88","88","88","2","12.44",".14","30475","0","7387.25"
"NIFTY","09-Feb-2016","30-Jun-2016","CE","8200","70","70","70","70","70","70","2","12.41",".11","30475","0","7298.2"
"NIFTY","10-Feb-2016","30-Jun-2016","CE","8200","70","70.1","70","70.1","70.1","70.1","3","18.61",".16","30475","0","7215.7"
