"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","26-Feb-2016","26-May-2016","CE","8300","0","0","0","47.9","0","51.05","0","0","0","0","0","7029.75"
"NIFTY","29-Feb-2016","26-May-2016","CE","8300","0","0","0","47.9","0","38.95","0","0","0","0","0","6987.05"
"NIFTY","01-Mar-2016","26-May-2016","CE","8300","0","0","0","47.9","0","106.45","0","0","0","0","0","7222.3"
"NIFTY","02-Mar-2016","26-May-2016","CE","8300","0","0","0","47.9","0","146.3","0","0","0","0","0","7368.85"
"NIFTY","03-Mar-2016","26-May-2016","CE","8300","13.1","13.1","12","13","13","13","856","5336.6","8","63975","63975","7475.6"
"NIFTY","04-Mar-2016","26-May-2016","CE","8300","15.4","15.4","7.5","14.5","14.5","14.5","3","18.7",".03","64050","75","7485.35"
"NIFTY","08-Mar-2016","26-May-2016","CE","8300","20","20","13","19.8","19.8","19.8","29","180.9",".38","65475","1425","7485.3"
"NIFTY","09-Mar-2016","26-May-2016","CE","8300","13","22","13","20.2","18.4","20.2","545","3399.43","6.8","105750","40275","7531.8"
"NIFTY","10-Mar-2016","26-May-2016","CE","8300","18.4","20.95","14.6","18","18","18","511","3187.41","6.44","121125","15375","7486.15"
"NIFTY","11-Mar-2016","26-May-2016","CE","8300","19.7","23.25","15.1","18.3","18","18.3","251","1566.1","3.62","129450","8325","7510.2"
"NIFTY","14-Mar-2016","26-May-2016","CE","8300","23","23","18","19.8","19.9","19.8","724","4518.03","11.13","155025","25575","7538.75"
"NIFTY","15-Mar-2016","26-May-2016","CE","8300","18","18","14.5","14.5","14.5","14.5","58","361.75",".7","155550","525","7460.6"
"NIFTY","16-Mar-2016","26-May-2016","CE","8300","13","17","12.6","17","17","17","728","4539.09","7.29","148200","-7350","7498.75"
"NIFTY","17-Mar-2016","26-May-2016","CE","8300","25.25","25.25","15","16.05","15","16.05","637","3974.61","9.29","160050","11850","7512.55"
"NIFTY","18-Mar-2016","26-May-2016","CE","8300","19.5","21.85","16","20.8","21.85","20.8","257","1603.72","3.89","160050","0","7604.35"
"NIFTY","21-Mar-2016","26-May-2016","CE","8300","22","32.9","21.05","31.65","32.9","31.65","1020","6369.76","20.26","203625","43575","7704.25"
"NIFTY","22-Mar-2016","26-May-2016","CE","8300","22.05","35","22.05","34.35","33.85","34.35","720","4499.9","17.9","214425","10800","7714.9"
"NIFTY","23-Mar-2016","26-May-2016","CE","8300","32","33.5","28.45","33","33","33","390","2436.54","8.79","234675","20250","7716.5"
"NIFTY","28-Mar-2016","26-May-2016","CE","8300","28.8","34","23","25.3","26.5","25.3","871","5441.12","19.15","215400","-19275","7615.1"
"NIFTY","29-Mar-2016","26-May-2016","CE","8300","26","27.75","21.25","22.05","22","22.05","905","5650.43","16.81","208275","-7125","7597"
