"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","01-Nov-2016","29-Dec-2016","CE","8500","312.2","347.8","311.85","315.95","317.7","315.95","692","4580.76","169.26","1413125","9000","8400.0"
"NIFTY","02-Nov-2016","29-Dec-2016","CE","8500","262.05","267.05","241.35","247.8","251","247.8","2480","16285.6","475.6","1462100","48975","8400.0"
"NIFTY","03-Nov-2016","29-Dec-2016","CE","8500","228.35","254.5","219","222.85","227.9","222.85","2245","14708.14","396.26","1447625","-14475","8400.0"
"NIFTY","04-Nov-2016","29-Dec-2016","CE","8500","224.85","227.6","177.65","189.45","190.5","189.45","5769","37653.89","876.51","1568750","121125","8433.75"
"NIFTY","07-Nov-2016","29-Dec-2016","CE","8500","213.95","240","209","214.7","213.4","214.7","2447","16010.5","410.88","1586750","18000","8497.05"
"NIFTY","08-Nov-2016","29-Dec-2016","CE","8500","231.4","255.05","213.5","246.6","252.4","246.6","1616","10581.19","279.19","1588700","1950","8543.55"
"NIFTY","09-Nov-2016","29-Dec-2016","CE","8500","84","207.05","84","183.4","192.1","183.4","29761","192549.01","2822.63","1590000","1300","8432"
"NIFTY","10-Nov-2016","29-Dec-2016","CE","8500","215.1","261.9","208.5","224.9","221.1","224.9","6911","45295.14","1237.52","1646250","56250","8525.75"
"NIFTY","11-Nov-2016","29-Dec-2016","CE","8500","166.5","185.15","111","117.45","121.9","117.45","15345","99413.19","1588.81","1778250","132000","8296.3"
"NIFTY","15-Nov-2016","29-Dec-2016","CE","8500","99.15","99.15","61.1","64.85","65.5","64.85","27657","177809.48","1496.11","1985850","207600","8108.45"
"NIFTY","16-Nov-2016","29-Dec-2016","CE","8500","80.6","81.05","50.05","52.5","52","52.5","23950","153831.66","1150.41","2252775","266925","8111.6"
"NIFTY","17-Nov-2016","29-Dec-2016","CE","8500","52.85","59.25","35.1","39.1","42","39.1","23118","148180.55","803.3","2382525","129750","8079.95"
"NIFTY","18-Nov-2016","29-Dec-2016","CE","8500","40.65","44.35","31.9","34.85","35.3","34.85","18960","121397.17","527.17","2340375","-42150","8074.1"
"NIFTY","21-Nov-2016","29-Dec-2016","CE","8500","35.7","35.7","16.15","17.85","21.5","17.85","45735","292288.06","727.44","2600700","260325","7929.1"
"NIFTY","22-Nov-2016","29-Dec-2016","CE","8500","22.95","23.2","15.4","20.7","22","20.7","25735","164418.33","357.71","2686950","86250","8002.3"
"NIFTY","23-Nov-2016","29-Dec-2016","CE","8500","22.7","24","17.9","21.4","20.6","21.4","28818","184167.7","452.95","2900850","213900","8033.3"
"NIFTY","24-Nov-2016","29-Dec-2016","CE","8500","18.05","19","11.2","12.8","13.2","12.8","50514","322560.99","534.24","3482925","582075","7965.5"
"NIFTY","25-Nov-2016","29-Dec-2016","CE","8500","14","23.2","12.15","22.05","21.05","22.05","61000","389683.57","808.57","3557175","74250","8114.3"
"NIFTY","28-Nov-2016","29-Dec-2016","CE","8500","17.8","26.7","17.25","23.4","22.55","23.4","54616","349136.3","959.3","3655575","98400","8126.9"
"NIFTY","29-Nov-2016","29-Dec-2016","CE","8500","23.1","30.6","20","21.6","21.35","21.6","97018","620416.08","1926.33","3665325","9750","8142.15"
"NIFTY","30-Nov-2016","29-Dec-2016","CE","8500","22.75","35.75","20.4","33.85","31.9","33.85","72545","463984.71","1510.34","3657375","-7950","8224.5"
"NIFTY","01-Dec-2016","29-Dec-2016","CE","8500","33.1","36.15","23.7","24.8","24.55","24.8","74561","476979.72","1653.34","3777900","120525","8192.9"
