"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","29-Apr-2016","28-Jul-2016","CE","8600","38","38","35","36.5","35","36.5","2","12.95",".05","150","150","7849.8"
"NIFTY","02-May-2016","28-Jul-2016","CE","8600","30","30","27.75","28.5","28.5","28.5","103","666.55","2.2","7650","7500","7805.9"
"NIFTY","03-May-2016","28-Jul-2016","CE","8600","25.5","35.6","20.1","21.15","20.1","21.15","459","2969.46","8.91","34350","26700","7747"
"NIFTY","04-May-2016","28-Jul-2016","CE","8600","18.75","20.1","17","17.3","17","17.3","96","620.57","1.37","36975","2625","7706.55"
"NIFTY","05-May-2016","28-Jul-2016","CE","8600","16.5","20","16","19","19","19","75","484.8","1.05","41550","4575","7735.5"
"NIFTY","06-May-2016","28-Jul-2016","CE","8600","15","19.75","15","17.4","17.4","17.4","69","445.87",".82","44550","3000","7733.45"
"NIFTY","09-May-2016","28-Jul-2016","CE","8600","18.85","27.5","18.85","26.7","26.85","26.7","515","3331.18","9.43","70800","26250","7866.05"
"NIFTY","10-May-2016","28-Jul-2016","CE","8600","25.5","28.6","23.95","28.35","28.6","28.35","134","866.97","2.67","76050","5250","7887.8"
"NIFTY","11-May-2016","28-Jul-2016","CE","8600","23","26.95","21.6","22.5","22.5","22.5","33","213.43",".58","75375","-675","7848.85"
"NIFTY","12-May-2016","28-Jul-2016","CE","8600","26.1","28.95","23.55","27.2","27.75","27.2","253","1636.83","4.98","82350","6975","7900.4"
"NIFTY","13-May-2016","28-Jul-2016","CE","8600","25","25","18","19.6","20","19.6","272","1758.48","4.08","77025","-5325","7814.9"
"NIFTY","16-May-2016","28-Jul-2016","CE","8600","16.1","21.05","6.6","20.8","21.05","20.8","152","982.34","1.94","74625","-2400","7860.75"
"NIFTY","17-May-2016","28-Jul-2016","CE","8600","20.8","25","20.8","21.85","21.5","21.85","144","931.3","2.5","80250","5625","7890.75"
"NIFTY","18-May-2016","28-Jul-2016","CE","8600","17.5","18.45","15.45","18.35","18.45","18.35","146","943.53","1.83","79650","-600","7870.15"
"NIFTY","19-May-2016","28-Jul-2016","CE","8600","15.25","15.7","12","12.25","12","12.25","214","1382.61","2.31","86775","7125","7783.4"
"NIFTY","20-May-2016","28-Jul-2016","CE","8600","12.55","13.55","10","10.5","10","10.5","428","2764.44","3.84","85425","-1350","7749.7"
"NIFTY","23-May-2016","28-Jul-2016","CE","8600","9.4","10","7.1","7.6","7.1","7.6","136","878.12",".92","91800","6375","7731.05"
"NIFTY","24-May-2016","28-Jul-2016","CE","8600","7.35","7.95","6.65","7.1","7.1","7.1","71","458.33",".38","90600","-1200","7748.85"
"NIFTY","25-May-2016","28-Jul-2016","CE","8600","9.95","17.05","9","16.35","16.2","16.35","358","2312.55","3.45","101400","10800","7934.9"
"NIFTY","26-May-2016","28-Jul-2016","CE","8600","16.05","33","14.8","30.9","33","30.9","3498","22626.23","64.13","242325","140925","8069.65"
"NIFTY","27-May-2016","28-Jul-2016","CE","8600","31.7","47.95","31.7","45.25","44.35","45.25","4389","28445.28","136.23","263100","20775","8156.65"
"NIFTY","30-May-2016","28-Jul-2016","CE","8600","53.2","55.2","45.2","47.65","48","47.65","2739","17769.75","103.2","266250","3150","8178.5"
"NIFTY","31-May-2016","28-Jul-2016","CE","8600","50.55","53.1","42.25","46.85","46.6","46.85","2776","18002.36","97.16","279900","13650","8160.1"
"NIFTY","01-Jun-2016","28-Jul-2016","CE","8600","49.15","52.35","43","45.4","45.85","45.4","2898","18794.53","102.43","304050","24150","8179.95"
"NIFTY","02-Jun-2016","28-Jul-2016","CE","8600","43.2","53.25","39","51.75","51.55","51.75","2476","16053.34","83.14","316725","12675","8218.95"
"NIFTY","03-Jun-2016","28-Jul-2016","CE","8600","54.85","59.25","50.05","51.55","50.6","51.55","3968","25757.31","163.71","295350","-21375","8220.8"
"NIFTY","06-Jun-2016","28-Jul-2016","CE","8600","51.95","54.25","43.5","48.2","49","48.2","1712","11106.04","63.64","299250","3900","8201.05"
"NIFTY","07-Jun-2016","28-Jul-2016","CE","8600","52.75","65.45","48.1","55.4","55.2","55.4","4193","27223","178.15","336000","36750","8266.45"
"NIFTY","08-Jun-2016","28-Jul-2016","CE","8600","54","58.15","50.3","54.35","54.1","54.35","2165","14052.81","88.56","349950","13950","8273.05"
"NIFTY","09-Jun-2016","28-Jul-2016","CE","8600","53.2","53.2","39.3","44.3","44.2","44.3","3725","24153.61","127.36","322800","-27150","8203.6"
"NIFTY","10-Jun-2016","28-Jul-2016","CE","8600","41.05","55","34.2","36.5","36.35","36.5","6077","39393.09","196.44","342600","19800","8170.05"
"NIFTY","13-Jun-2016","28-Jul-2016","CE","8600","28","28.2","21.7","25.85","25.85","25.85","5489","35506.8","102.75","391800","49200","8110.6"
"NIFTY","14-Jun-2016","28-Jul-2016","CE","8600","25.85","28","22.1","26.5","27","26.5","4382","28346.77","82.87","409125","17325","8108.85"
"NIFTY","15-Jun-2016","28-Jul-2016","CE","8600","28.05","46.95","27.7","44.3","43.95","44.3","9550","61852.59","255.09","473700","64575","8206.6"
"NIFTY","16-Jun-2016","28-Jul-2016","CE","8600","37.7","39.2","26","33.05","32.2","33.05","7751","50172.81","178.86","522750","49050","8140.75"
"NIFTY","17-Jun-2016","28-Jul-2016","CE","8600","36","42.2","30.5","32.7","31.85","32.7","5357","34695.78","143.13","536025","13275","8170.2"
"NIFTY","20-Jun-2016","28-Jul-2016","CE","8600","30","48.9","27","47.45","47","47.45","9037","58570.85","282.2","640050","104025","8238.5"
"NIFTY","21-Jun-2016","28-Jul-2016","CE","8600","49.2","49.2","35.55","38","37.95","38","4339","28115.95","129.4","706350","66300","8219.9"
"NIFTY","22-Jun-2016","28-Jul-2016","CE","8600","37.8","42","31","37.55","36.95","37.55","7759","50261.58","216.03","832200","125850","8203.7"
"NIFTY","23-Jun-2016","28-Jul-2016","CE","8600","40","54.75","36","53.1","54.75","53.1","16546","107312.62","590.92","1030425","198225","8270.45"
"NIFTY","24-Jun-2016","28-Jul-2016","CE","8600","14.35","33.55","9.1","21.9","21.35","21.9","33224","214719.14","424.34","887250","-143175","8088.6"
"NIFTY","27-Jun-2016","28-Jul-2016","CE","8600","21","23.75","16.15","19.85","20.55","19.85","15314","99011.59","236.29","1012875","125625","8094.7"
"NIFTY","28-Jun-2016","28-Jul-2016","CE","8600","19.75","21.35","18.1","20.25","20.3","20.25","9678","62568.99","145.89","1085475","72600","8127.85"
"NIFTY","29-Jun-2016","28-Jul-2016","CE","8600","24.35","24.35","17.3","22.05","22.85","22.05","18577","120108.33","286.68","1129200","43725","8204"
"NIFTY","30-Jun-2016","28-Jul-2016","CE","8600","26.7","38.4","25.2","35.8","36.7","35.8","47344","306515.03","1146.23","1541700","412500","8287.75"
"NIFTY","01-Jul-2016","28-Jul-2016","CE","8600","37.95","45","35.45","36.65","37.5","36.65","78095","506106.48","2393.73","2070900","529200","8328.35"
"NIFTY","04-Jul-2016","28-Jul-2016","CE","8600","44.1","45.45","34","36.1","36.25","36.1","79560","515527.3","2365.3","2706000","635100","8370.7"
"NIFTY","05-Jul-2016","28-Jul-2016","CE","8600","30.4","36.35","25.45","26.8","25.9","26.8","76222","493277.43","1645.53","2934750","228750","8335.95"
"NIFTY","07-Jul-2016","28-Jul-2016","CE","8600","22.25","28.9","21.2","24.35","25.6","24.35","69403","448936.97","1287.62","3102225","167475","8337.9"
"NIFTY","08-Jul-2016","28-Jul-2016","CE","8600","21.4","22.8","15.15","17.25","18","17.25","108447","700869.94","1386.79","2921250","-180975","8323.2"
"NIFTY","11-Jul-2016","28-Jul-2016","CE","8600","39.9","48.8","30.95","45.8","48.2","45.8","187842","1217409.55","5828.65","3942000","1020750","8467.9"
"NIFTY","12-Jul-2016","28-Jul-2016","CE","8600","52.15","58.2","45.25","56.3","57.2","56.3","180841","1173418.76","6994.31","4778700","836700","8521.05"
"NIFTY","13-Jul-2016","28-Jul-2016","CE","8600","59.05","60.9","48.75","54.8","52.85","54.8","183602","1191759.81","7526.91","5175075","396375","8519.5"
"NIFTY","14-Jul-2016","28-Jul-2016","CE","8600","52.9","87.8","49.1","78.15","86.85","78.15","211838","1377059.36","10704.26","4861950","-313125","8565"
"NIFTY","15-Jul-2016","28-Jul-2016","CE","8600","88","95.95","56.6","66.7","68.5","66.7","314219","2043523.3","16810.75","5272350","410400","8541.4"
"NIFTY","18-Jul-2016","28-Jul-2016","CE","8600","71.35","81.45","42","44.7","42","44.7","327823","2130112.56","15654.21","6042450","770100","8508.7"
"NIFTY","19-Jul-2016","28-Jul-2016","CE","8600","49","53.35","31.2","46.5","50","46.5","286629","1857744.33","8987.28","6124650","82200","8528.55"
"NIFTY","20-Jul-2016","28-Jul-2016","CE","8600","49.35","63","46.65","60.6","62","60.6","270872","1758736.27","11611.87","5939850","-184800","8565.85"
"NIFTY","21-Jul-2016","28-Jul-2016","CE","8600","60.1","66.85","28.9","31.55","31.15","31.55","330822","2144878.8","11076.9","6428475","488625","8510.1"
"NIFTY","22-Jul-2016","28-Jul-2016","CE","8600","37.8","41","23.2","34.6","32.5","34.6","362808","2348995.51","8883.91","6176475","-252000","8541.2"
"NIFTY","25-Jul-2016","28-Jul-2016","CE","8600","27.9","72.9","21.75","68.15","67.4","68.15","478229","3101630.24","17053.19","5277000","-899475","8635.65"
"NIFTY","26-Jul-2016","28-Jul-2016","CE","8600","67.95","74.5","30.85","38.25","36","38.25","325495","2113713.39","14270.64","4488225","-788775","8590.65"
"NIFTY","27-Jul-2016","28-Jul-2016","CE","8600","38.1","78.9","21.1","37.8","35","37.8","740438","4798306.65","22481.55","4477800","-10425","8615.8"
"NIFTY","28-Jul-2016","28-Jul-2016","CE","8600","32","59.9","26","52.45","54.6","0","477991","3100106.92","17064.97","1377150","-3100650","8666.3"
