"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","27-May-2016","25-Aug-2016","CE","8900","11.15","29","11.15","24.05","24.05","24.05","8","53.51",".11","525","525","8156.65"
"NIFTY","30-May-2016","25-Aug-2016","CE","8900","28","30","26.15","29","29","29","11","73.66",".23","1350","825","8178.5"
"NIFTY","31-May-2016","25-Aug-2016","CE","8900","24","30.5","24","30.5","30.5","30.5","4","26.78",".08","1650","300","8160.1"
"NIFTY","01-Jun-2016","25-Aug-2016","CE","8900","31","31","26","29","29","29","5","33.48",".11","1875","225","8179.95"
"NIFTY","02-Jun-2016","25-Aug-2016","CE","8900","30","30","30","30","30","30","1","6.7",".02","1800","-75","8218.95"
"NIFTY","03-Jun-2016","25-Aug-2016","CE","8900","33.9","34.2","27.05","27.8","27.05","27.8","8","53.58",".18","2250","450","8220.8"
"NIFTY","06-Jun-2016","25-Aug-2016","CE","8900","30","32.45","30","32.45","32.45","32.45","2","13.4",".05","2325","75","8201.05"
"NIFTY","07-Jun-2016","25-Aug-2016","CE","8900","32.45","39","32","32","32","32","41","274.69","1.02","4950","2625","8266.45"
"NIFTY","08-Jun-2016","25-Aug-2016","CE","8900","33","36","33","33.25","33.25","33.25","4","26.8",".1","5025","75","8273.05"
"NIFTY","09-Jun-2016","25-Aug-2016","CE","8900","29","29","25.8","27","27","27","10","66.95",".2","5325","300","8203.6"
"NIFTY","10-Jun-2016","25-Aug-2016","CE","8900","27.2","34.1","23","23.25","23.25","23.25","15","100.42",".29","6300","975","8170.05"
"NIFTY","13-Jun-2016","25-Aug-2016","CE","8900","17","18.95","15.5","17","17","17","24","160.49",".29","7350","1050","8110.6"
"NIFTY","14-Jun-2016","25-Aug-2016","CE","8900","16.55","17.85","16.55","17.45","17.45","17.45","7","46.82",".09","7350","0","8108.85"
"NIFTY","15-Jun-2016","25-Aug-2016","CE","8900","20.4","30.9","20","29.05","28.9","29.05","754","5045.4","12.45","60600","53250","8206.6"
"NIFTY","16-Jun-2016","25-Aug-2016","CE","8900","22.9","22.9","18.3","22.25","22","22.25","40","267.6",".6","62325","1725","8140.75"
"NIFTY","17-Jun-2016","25-Aug-2016","CE","8900","24.1","24.1","20.5","21.45","21.25","21.45","22","147.22",".37","62625","300","8170.2"
"NIFTY","20-Jun-2016","25-Aug-2016","CE","8900","22.9","30","21.4","29.15","30","29.15","168","1124.8","3.4","67200","4575","8238.5"
"NIFTY","21-Jun-2016","25-Aug-2016","CE","8900","27.25","27.45","25.35","26.55","26.55","26.55","13","87.03",".26","67425","225","8219.9"
"NIFTY","22-Jun-2016","25-Aug-2016","CE","8900","25.15","27.4","23.25","24.05","23.6","24.05","17","113.8",".32","67725","300","8203.7"
"NIFTY","23-Jun-2016","25-Aug-2016","CE","8900","26","33.35","23","32.45","33","32.45","38","254.48",".83","68250","525","8270.45"
"NIFTY","24-Jun-2016","25-Aug-2016","CE","8900","0.55","19.9","0.55","17.5","18.55","17.5","123","822.42","1.39","65925","-2325","8088.6"
"NIFTY","27-Jun-2016","25-Aug-2016","CE","8900","18","18.5","15.3","17.75","17.75","17.75","27","180.58",".36","65400","-525","8094.7"
"NIFTY","28-Jun-2016","25-Aug-2016","CE","8900","18","19.1","16.55","17.85","17.9","17.85","179","1197.19","2.37","66525","1125","8127.85"
"NIFTY","29-Jun-2016","25-Aug-2016","CE","8900","18","18.95","17","18.55","18.65","18.55","316","2113.62","4.32","74325","7800","8204"
"NIFTY","30-Jun-2016","25-Aug-2016","CE","8900","22.15","26.2","20.35","24.85","24.35","24.85","1925","12882.42","33.04","149850","75525","8287.75"
"NIFTY","01-Jul-2016","25-Aug-2016","CE","8900","27.15","32.2","26","29.15","29","29.15","3756","25155.09","83.79","218850","69000","8328.35"
"NIFTY","04-Jul-2016","25-Aug-2016","CE","8900","34.15","34.15","27.45","29.05","29.5","29.05","2310","15473.01","53.76","264600","45750","8370.7"
"NIFTY","05-Jul-2016","25-Aug-2016","CE","8900","26.75","27.45","23.7","24.3","24.2","24.3","1678","11232.21","31.56","269400","4800","8335.95"
"NIFTY","07-Jul-2016","25-Aug-2016","CE","8900","23.2","24.85","21.75","22.75","23.15","22.75","1684","11270.03","29.33","297000","27600","8337.9"
"NIFTY","08-Jul-2016","25-Aug-2016","CE","8900","21.75","21.75","14.65","17.9","18.5","17.9","1698","11357.53","23.38","304500","7500","8323.2"
"NIFTY","11-Jul-2016","25-Aug-2016","CE","8900","29.1","39.15","26.5","37","38.85","37","5952","39875.78","146.18","351000","46500","8467.9"
"NIFTY","12-Jul-2016","25-Aug-2016","CE","8900","39.45","44","29.15","43.25","43.5","43.25","4770","31985.95","146.2","359325","8325","8521.05"
"NIFTY","13-Jul-2016","25-Aug-2016","CE","8900","41.9","45.15","37.9","43.45","41.9","43.45","6359","42646.65","200.33","422775","63450","8519.5"
"NIFTY","14-Jul-2016","25-Aug-2016","CE","8900","41.2","61.55","40.4","57.65","61.3","57.65","4937","33140.72","186.25","464925","42150","8565"
"NIFTY","15-Jul-2016","25-Aug-2016","CE","8900","62.15","69.3","46","50.35","51.75","50.35","5870","39423.1","240.85","517425","52500","8541.4"
"NIFTY","18-Jul-2016","25-Aug-2016","CE","8900","54.4","60.05","38","39.5","38.2","39.5","5343","35860.93","196.4","572925","55500","8508.7"
"NIFTY","19-Jul-2016","25-Aug-2016","CE","8900","39.65","44.1","31.8","41.5","43.05","41.5","8062","54050.89","237.04","652875","79950","8528.55"
"NIFTY","20-Jul-2016","25-Aug-2016","CE","8900","54.75","54.75","41.45","51.1","51.3","51.1","6025","40436.96","220.08","767925","115050","8565.85"
"NIFTY","21-Jul-2016","25-Aug-2016","CE","8900","61.95","61.95","33.65","34.8","34.4","34.8","10145","68032.62","314.74","764175","-3750","8510.1"
"NIFTY","22-Jul-2016","25-Aug-2016","CE","8900","36.65","41.5","30.6","38.7","39.5","38.7","11034","73950.67","298.72","926175","162000","8541.2"
"NIFTY","25-Jul-2016","25-Aug-2016","CE","8900","30","58.65","30","56.75","55.9","56.75","20351","136564.61","721.68","1136850","210675","8635.65"
"NIFTY","26-Jul-2016","25-Aug-2016","CE","8900","54.4","61.15","39.25","42.15","41.4","42.15","16601","111466.04","654.37","1293000","156150","8590.65"
"NIFTY","27-Jul-2016","25-Aug-2016","CE","8900","42.55","60.45","35.6","45.75","45","45.75","31650","212346.37","1082.62","1473975","180975","8615.8"
"NIFTY","28-Jul-2016","25-Aug-2016","CE","8900","49.15","55","44.85","53.4","51.35","53.4","40664","272967.8","1535.6","2239050","765075","8666.3"
"NIFTY","29-Jul-2016","25-Aug-2016","CE","8900","50.05","51.6","43.2","46.05","47.55","46.05","71791","481701.11","2496.19","2584800","345750","8638.5"
"NIFTY","01-Aug-2016","25-Aug-2016","CE","8900","53.1","57.1","30.55","40.25","42.75","40.25","132607","889514.19","4362.46","3588675","1003875","8636.55"
"NIFTY","02-Aug-2016","25-Aug-2016","CE","8900","38.95","52.3","32.85","37.4","37.65","37.4","105164","705308.57","3338.87","4483125","894450","8622.9"
"NIFTY","03-Aug-2016","25-Aug-2016","CE","8900","32.05","36.1","22.5","25.15","23","25.15","130803","876005.66","2895.64","5261850","778725","8544.85"
"NIFTY","04-Aug-2016","25-Aug-2016","CE","8900","29.45","30.25","16.15","18.8","19.2","18.8","153207","1024930.14","2273.42","4470000","-791850","8551.1"
"NIFTY","05-Aug-2016","25-Aug-2016","CE","8900","23.95","33.55","23.1","32.05","32.3","32.05","129310","865821.97","2677.72","4588275","118275","8683.15"
"NIFTY","08-Aug-2016","25-Aug-2016","CE","8900","39.45","40","31.75","34.95","31.9","34.95","93225","624792.24","2515.37","4264350","-323925","8711.35"
"NIFTY","09-Aug-2016","25-Aug-2016","CE","8900","33","35.1","18.4","23.45","22.6","23.45","165717","1109234.75","3073.77","4679700","415350","8678.25"
"NIFTY","10-Aug-2016","25-Aug-2016","CE","8900","24.25","25","8.9","9.9","9.65","9.9","183994","1230054.57","1894.62","4468425","-211275","8575.3"
"NIFTY","11-Aug-2016","25-Aug-2016","CE","8900","9.5","10.75","6.5","8.95","9.65","8.95","94418","630831.53","591.38","4241400","-227025","8592.15"
"NIFTY","12-Aug-2016","25-Aug-2016","CE","8900","7.45","14.6","6.25","11.9","11.65","11.9","135170","903464.03","1204.28","3934650","-306750","8672.15"
"NIFTY","16-Aug-2016","25-Aug-2016","CE","8900","11.85","11.85","5","8.25","8.25","8.25","126551","845479.18","751.26","4030425","95775","8642.55"
"NIFTY","17-Aug-2016","25-Aug-2016","CE","8900","6.8","9.3","4.9","5.8","5.85","5.8","111027","741659.13","553.9","3967650","-62775","8624.05"
"NIFTY","18-Aug-2016","25-Aug-2016","CE","8900","5.95","9.5","4.75","5.65","5.2","5.65","113518","758346.41","613.76","3600300","-367350","8673.25"
"NIFTY","19-Aug-2016","25-Aug-2016","CE","8900","5.75","5.8","2.55","3","2.8","3","125549","838380.62","341.04","3784875","184575","8666.9"
"NIFTY","22-Aug-2016","25-Aug-2016","CE","8900","2.25","2.6","0.8","0.95","0.95","0.95","141571","945124.23","137.8","4459725","674850","8629.15"
"NIFTY","23-Aug-2016","25-Aug-2016","CE","8900","0.8","0.8","0.55","0.7","0.7","0.7","120911","807142.44","61.52","3980025","-479700","8632.6"
"NIFTY","24-Aug-2016","25-Aug-2016","CE","8900","0.5","0.5","0.25","0.35","0.25","0.35","29003","193603.61","8.59","3645075","-334950","8650.3"
"NIFTY","25-Aug-2016","25-Aug-2016","CE","8900","0.05","0.1","0.05","0.05","0.05","0","4206","28075.21",".16","3509175","-135900","8592.2"
