"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","03-Oct-2016","24-Nov-2016","CE","8900","115","155","106.65","151.35","152.85","151.35","3042","20612.67","307.32","238725","28425","8738.1"
"NIFTY","04-Oct-2016","24-Nov-2016","CE","8900","150.9","165","142.4","153.95","156.8","153.95","3633","24668.78","418.51","299925","61200","8769.15"
"NIFTY","05-Oct-2016","24-Nov-2016","CE","8900","158.45","160.55","132.5","141.7","137.05","141.7","1800","12208.72","193.72","295200","-4725","8743.95"
"NIFTY","06-Oct-2016","24-Nov-2016","CE","8900","143.35","151.1","114.75","121.1","125.35","121.1","3869","26203.25","377.68","279000","-16200","8709.55"
"NIFTY","07-Oct-2016","24-Nov-2016","CE","8900","118.25","125.1","102.45","110.85","110.75","110.85","5198","35130.57","433.92","311625","32625","8697.6"
"NIFTY","10-Oct-2016","24-Nov-2016","CE","8900","119.6","124.35","108.45","110.3","109.5","110.3","3264","22063.11","275.91","322875","11250","8708.8"
"NIFTY","13-Oct-2016","24-Nov-2016","CE","8900","98.1","98.1","48.45","52.8","54.6","52.8","14004","94125.38","648.68","517350","194475","8573.35"
"NIFTY","14-Oct-2016","24-Nov-2016","CE","8900","59.15","59.15","48","53.25","56","53.25","12122","81388.06","473.71","699600","182250","8583.4"
"NIFTY","17-Oct-2016","24-Nov-2016","CE","8900","53.75","54.7","31.8","35.4","37.95","35.4","10460","70137.54","317.04","745350","45750","8520.4"
"NIFTY","18-Oct-2016","24-Nov-2016","CE","8900","42.4","70.45","38.5","68.05","67.6","68.05","16525","110962.2","657.83","744000","-1350","8677.9"
"NIFTY","19-Oct-2016","24-Nov-2016","CE","8900","69.9","72.05","56.65","61.55","60.85","61.55","8675","58322.47","416.84","750000","6000","8659.1"
"NIFTY","20-Oct-2016","24-Nov-2016","CE","8900","67.85","79","61.7","69.1","71.1","69.1","9059","60948.28","479.45","774675","24675","8699.4"
"NIFTY","21-Oct-2016","24-Nov-2016","CE","8900","68.05","68.4","46.25","63.35","67","63.35","12665","85085.79","546.92","870525","95850","8693.05"
"NIFTY","24-Oct-2016","24-Nov-2016","CE","8900","72.3","81.7","60.65","71.35","72","71.35","19560","131613.84","1050.84","1078800","208275","8708.95"
"NIFTY","25-Oct-2016","24-Nov-2016","CE","8900","67.45","68.95","52.8","63.25","62.7","63.25","22740","152837.87","1048.37","1236000","157200","8691.3"
"NIFTY","26-Oct-2016","24-Nov-2016","CE","8900","53.1","53.6","33.8","38.1","38.05","38.1","33955","227718.4","1068.78","1622400","386400","8615.25"
"NIFTY","27-Oct-2016","24-Nov-2016","CE","8900","31.55","33.25","23.7","31.05","31.95","31.05","58061","388822.32","1265.14","2238225","615825","8615.25"
"NIFTY","28-Oct-2016","24-Nov-2016","CE","8900","27.25","37.7","24.65","34.4","34.75","34.4","80624","540140.84","1975.64","2681850","443625","8638"
"NIFTY","30-Oct-2016","24-Nov-2016","CE","8900","34.45","35.65","27","28.25","27.2","28.25","9880","66163.79","214.79","2778000","96150","8625.7"
"NIFTY","01-Nov-2016","24-Nov-2016","CE","8900","29.35","41.3","29.05","31.85","31.2","31.85","71646","480104.46","1867.41","3106050","328050","8000.0"
"NIFTY","02-Nov-2016","24-Nov-2016","CE","8900","19.9","21.2","16","17.4","18.8","17.4","99032","662442.18","1403.58","2872200","-233850","8000.0"
"NIFTY","03-Nov-2016","24-Nov-2016","CE","8900","16.1","18","12.25","13.1","13.25","13.1","84702","566345.46","959.61","2844225","-27975","8000.0"
"NIFTY","04-Nov-2016","24-Nov-2016","CE","8900","12.8","13.85","7.85","8.9","9.15","8.9","89050","595112.3","703.55","2921475","77250","8433.75"
"NIFTY","07-Nov-2016","24-Nov-2016","CE","8900","10.85","16.9","10.55","11.25","10.95","11.25","57843","386620.73","518.7","3284100","362625","8497.05"
"NIFTY","08-Nov-2016","24-Nov-2016","CE","8900","13.15","17.4","10.75","15.05","17.2","15.05","84329","563707.04","810.97","3572175","288075","8543.55"
"NIFTY","09-Nov-2016","24-Nov-2016","CE","8900","2.7","6.65","1.05","5.75","6.5","5.75","168629","1126155.57","557","3404175","-168000","8432"
"NIFTY","10-Nov-2016","24-Nov-2016","CE","8900","9.1","11.7","7.1","7.85","7.5","7.85","118293","790426.53","820.75","3138525","-265650","8525.75"
"NIFTY","11-Nov-2016","24-Nov-2016","CE","8900","7.35","7.4","2.6","3.3","3.85","3.3","104805","699856.51","283.14","3268350","129825","8296.3"
"NIFTY","15-Nov-2016","24-Nov-2016","CE","8900","3.1","4.6","2.2","2.85","3","2.85","62022","414117.42","120.57","3034875","-233475","8108.45"
