"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","01-Aug-2016","29-Sep-2016","CE","9000","95.7","98.6","66.55","78.7","81.5","78.7","5401","36799.51","342.76","1302450","19950","8636.55"
"NIFTY","02-Aug-2016","29-Sep-2016","CE","9000","78.75","92","69.25","74.95","75.1","74.95","5685","38722.69","348.94","1356300","53850","8622.9"
"NIFTY","03-Aug-2016","29-Sep-2016","CE","9000","71.75","72.35","53","57.8","54","57.8","6777","46065.33","320.58","1378650","22350","8544.85"
"NIFTY","04-Aug-2016","29-Sep-2016","CE","9000","65.4","65.45","46","51.9","53.6","51.9","11250","76364.96","427.46","1426875","48225","8551.1"
"NIFTY","05-Aug-2016","29-Sep-2016","CE","9000","60.85","80","60.55","77.7","77.2","77.7","7175","48804.41","373.16","1490925","64050","8683.15"
"NIFTY","08-Aug-2016","29-Sep-2016","CE","9000","87.85","88.95","80","85.25","80.1","85.25","5758","39233.62","367.12","1522650","31725","8711.35"
"NIFTY","09-Aug-2016","29-Sep-2016","CE","9000","86.95","86.95","59.55","70.6","70","70.6","6165","41940.58","326.83","1512150","-10500","8678.25"
"NIFTY","10-Aug-2016","29-Sep-2016","CE","9000","70.8","73","42.45","44.25","42.8","44.25","14094","95680.34","545.84","1642575","130425","8575.3"
"NIFTY","11-Aug-2016","29-Sep-2016","CE","9000","41","47.4","35.6","42.2","44.75","42.2","9558","64810.45","293.95","1615200","-27375","8592.15"
"NIFTY","12-Aug-2016","29-Sep-2016","CE","9000","45.15","58.45","44.45","54.05","51.8","54.05","11063","75118.84","443.59","1671600","56400","8672.15"
"NIFTY","16-Aug-2016","29-Sep-2016","CE","9000","64","64","36","45.95","46.2","45.95","7699","52222.61","254.36","1722825","51225","8642.55"
"NIFTY","17-Aug-2016","29-Sep-2016","CE","9000","42.2","50","36.05","40","39.95","40","11775","79852.06","370.81","1873725","150900","8624.05"
"NIFTY","18-Aug-2016","29-Sep-2016","CE","9000","44","55","44","49.45","48.2","49.45","11787","80005.12","442.87","1950600","76875","8673.25"
"NIFTY","19-Aug-2016","29-Sep-2016","CE","9000","48.5","50.65","40","44.55","45.95","44.55","13395","90872.5","456.25","2071575","120975","8666.9"
"NIFTY","22-Aug-2016","29-Sep-2016","CE","9000","44.1","46","29","29.85","30","29.85","35501","240512.41","880.66","2801850","730275","8629.15"
"NIFTY","23-Aug-2016","29-Sep-2016","CE","9000","30.65","32.05","23.4","28.95","30.8","28.95","24813","167987.44","499.69","2975550","173700","8632.6"
"NIFTY","24-Aug-2016","29-Sep-2016","CE","9000","27.35","31.75","22.65","27.75","27.85","27.75","24806","167923.9","483.4","3023775","48225","8650.3"
"NIFTY","25-Aug-2016","29-Sep-2016","CE","9000","32","32","15.15","16.6","15.4","16.6","54609","369511.1","900.35","3795450","771675","8592.2"
"NIFTY","26-Aug-2016","29-Sep-2016","CE","9000","17","17.85","11.2","12.7","12.75","12.7","72353","489094.57","711.82","4101300","305850","8572.55"
"NIFTY","29-Aug-2016","29-Sep-2016","CE","9000","17.65","17.65","8.4","11.25","12","11.25","54414","367691.17","396.67","4005450","-95850","8607.45"
"NIFTY","30-Aug-2016","29-Sep-2016","CE","9000","11.75","39.5","11.7","35.75","37.4","35.75","153838","1041312.05","2905.55","5232975","1227525","8744.35"
"NIFTY","31-Aug-2016","29-Sep-2016","CE","9000","36.65","58","35","47.15","47.2","47.15","141829","962416.11","5070.36","5796750","563775","8786.2"
"NIFTY","01-Sep-2016","29-Sep-2016","CE","9000","46.5","54.5","36.15","38.35","39.65","38.35","109988","746120.23","3701.23","5831100","34350","8774.65"
"NIFTY","02-Sep-2016","29-Sep-2016","CE","9000","39.45","44.8","32.7","42.25","42.85","42.25","87562","593598.41","2554.91","6033225","202125","8809.65"
"NIFTY","06-Sep-2016","29-Sep-2016","CE","9000","50.05","82","50.05","78.6","79.75","78.6","168565","1146259.53","8445.78","5887800","-145425","8943"
"NIFTY","07-Sep-2016","29-Sep-2016","CE","9000","90.75","93.55","68.25","73.1","75.05","73.1","189049","1287447.86","11367.11","5545050","-342750","8917.95"
"NIFTY","08-Sep-2016","29-Sep-2016","CE","9000","68.5","88.85","64.85","83.95","81.55","83.95","149409","1017082.39","8571.64","5584275","39225","8952.5"
