"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","01-Sep-2016","27-Oct-2016","CE","9100","73.1","81.9","62.05","64.9","66.25","64.9","3283","22581.43","174.96","388950","46200","8774.65"
"NIFTY","02-Sep-2016","27-Oct-2016","CE","9100","66.85","71.6","58.65","69.45","70.05","69.45","2419","16628.5","118.82","389400","450","8809.65"
"NIFTY","06-Sep-2016","27-Oct-2016","CE","9100","77","108.05","77","104.8","106.75","104.8","4833","33328.12","342.89","336600","-52800","8943"
"NIFTY","07-Sep-2016","27-Oct-2016","CE","9100","111.4","118.25","99","102.75","105.1","102.75","4597","31745.05","370.53","411900","75300","8917.95"
"NIFTY","08-Sep-2016","27-Oct-2016","CE","9100","102.15","118.35","96","115","112","115","3960","27342.26","315.26","481125","69225","8952.5"
"NIFTY","09-Sep-2016","27-Oct-2016","CE","9100","101.2","102.1","80.25","82.65","82.9","82.65","6697","46155.75","448.72","560625","79500","8866.7"
"NIFTY","12-Sep-2016","27-Oct-2016","CE","9100","42.55","51.55","42.45","45.15","45","45.15","9291","63738.65","327.58","668925","108300","8715.6"
"NIFTY","14-Sep-2016","27-Oct-2016","CE","9100","43.5","47.15","41.75","45.25","46.95","45.25","4031","27646.44","134.86","583275","-85650","8726.6"
"NIFTY","15-Sep-2016","27-Oct-2016","CE","9100","45.45","47.35","39.6","44.7","47.35","44.7","3494","23956.9","110.35","592500","9225","8742.55"
"NIFTY","16-Sep-2016","27-Oct-2016","CE","9100","53.2","72","47.05","53.2","53.25","53.2","8171","56132.37","365.29","647850","55350","8779.85"
"NIFTY","19-Sep-2016","27-Oct-2016","CE","9100","53.2","61.05","50.55","58.35","58.95","58.35","4451","30567.97","189.9","634500","-13350","8808.4"
"NIFTY","20-Sep-2016","27-Oct-2016","CE","9100","54.95","55.85","47.05","49.2","49.95","49.2","4863","33371.56","181.59","690750","56250","8775.9"
"NIFTY","21-Sep-2016","27-Oct-2016","CE","9100","50.45","59.35","44.8","48.1","49.2","48.1","9393","64462.97","355.74","895050","204300","8777.15"
"NIFTY","22-Sep-2016","27-Oct-2016","CE","9100","70.1","71.5","53.8","58.05","55.95","58.05","16727","114931.04","769.26","1112475","217425","8867.45"
"NIFTY","23-Sep-2016","27-Oct-2016","CE","9100","54.4","57","41.4","43.8","43.15","43.8","15140","103896.34","565.84","1280250","167775","8831.55"
"NIFTY","26-Sep-2016","27-Oct-2016","CE","9100","40.45","40.5","24.25","25.3","25.5","25.3","27547","188626.35","618.08","1425525","145275","8723.05"
"NIFTY","27-Sep-2016","27-Oct-2016","CE","9100","28.15","30","18.5","21.05","22.45","21.05","22052","150896.07","391.17","1620000","194475","8706.4"
