"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","08-Jan-2016","25-Feb-2016","CE","8500","4.05","4.5","3.4","3.75","4","3.75","2682","17105.75","8","1133850","12825","7601.35"
"NIFTY","11-Jan-2016","25-Feb-2016","CE","8500","3.5","4.4","2.4","3.75","4.35","3.75","1877","11970.33","4.46","1160025","26175","7563.85"
"NIFTY","12-Jan-2016","25-Feb-2016","CE","8500","4","4","2.85","3.15","3.2","3.15","1232","7856.9","2.9","1156575","-3450","7510.3"
"NIFTY","13-Jan-2016","25-Feb-2016","CE","8500","3.25","3.45","2.1","3.1","3.1","3.1","2187","13947.05","4.93","1177200","20625","7562.4"
"NIFTY","14-Jan-2016","25-Feb-2016","CE","8500","2.2","4","2","3.2","3.25","3.2","1291","8233.07","2.94","1197675","20475","7536.8"
"NIFTY","15-Jan-2016","25-Feb-2016","CE","8500","3.1","3.3","2.55","2.7","2.6","2.7","888","5662.88","1.88","1198350","675","7437.8"
"NIFTY","18-Jan-2016","25-Feb-2016","CE","8500","2.45","2.8","1.8","1.95","2.05","1.95","1004","6402.13","1.63","1179300","-19050","7351"
"NIFTY","19-Jan-2016","25-Feb-2016","CE","8500","2","2.05","1.45","1.55","1.6","1.55","364","2320.97",".47","1176675","-2625","7435.1"
"NIFTY","20-Jan-2016","25-Feb-2016","CE","8500","1.7","4.4","1","2.25","4.4","2.25","758","4833.2",".95","1181475","4800","7309.3"
"NIFTY","21-Jan-2016","25-Feb-2016","CE","8500","1.45","2.9","1","2.75","2.8","2.75","2697","17197.61","4.23","1146225","-35250","7276.8"
"NIFTY","22-Jan-2016","25-Feb-2016","CE","8500","2.7","4.9","2.45","4.55","4.5","4.55","11006","70198.71","35.46","1037175","-109050","7422.45"
"NIFTY","25-Jan-2016","25-Feb-2016","CE","8500","4.25","4.9","2.75","2.95","2.75","2.95","11392","72658.53","34.53","1019475","-17700","7436.15"
"NIFTY","27-Jan-2016","25-Feb-2016","CE","8500","2.3","2.9","1.8","2.1","2","2.1","7925","50536.71","14.84","1045875","26400","7437.75"
"NIFTY","28-Jan-2016","25-Feb-2016","CE","8500","1.85","1.85","1.2","1.3","1.4","1.3","8854","56453.71","9.46","1088325","42450","7424.65"
"NIFTY","29-Jan-2016","25-Feb-2016","CE","8500","3.45","3.45","1.15","1.4","1.3","1.4","6110","38957.57","6.32","1066500","-21825","7563.55"
"NIFTY","01-Feb-2016","25-Feb-2016","CE","8500","1.4","1.5","1.3","1.45","1.4","1.45","10157","64761.89","11.01","1032975","-33525","7555.95"
"NIFTY","02-Feb-2016","25-Feb-2016","CE","8500","1.35","1.4","1.15","1.2","1.15","1.2","7711","49164.8","7.17","1046925","13950","7455.55"
"NIFTY","03-Feb-2016","25-Feb-2016","CE","8500","0.85","1.2","0.6","1.1","1.05","1.1","7316","46645.51","6.01","1027575","-19350","7361.8"
"NIFTY","04-Feb-2016","25-Feb-2016","CE","8500","1.2","1.2","1.05","1.15","1.1","1.15","6353","40505.73","5.35","1028175","600","7404"
"NIFTY","05-Feb-2016","25-Feb-2016","CE","8500","1.05","1.1","0.8","0.95","0.9","0.95","12767","81398.98","9.36","1015050","-13125","7489.1"
"NIFTY","08-Feb-2016","25-Feb-2016","CE","8500","0.9","1","0.8","0.9","0.8","0.9","2770","17660.57","1.82","1037700","22650","7387.25"
"NIFTY","09-Feb-2016","25-Feb-2016","CE","8500","0.7","0.85","0.5","0.8","0.8","0.8","2268","14459.82","1.32","981450","-56250","7298.2"
"NIFTY","10-Feb-2016","25-Feb-2016","CE","8500","0.75","1.15","0.75","1.1","1.1","1.1","3791","24170.24","2.62","906750","-74700","7215.7"
"NIFTY","11-Feb-2016","25-Feb-2016","CE","8500","0.75","1.25","0.75","1.2","1.15","1.2","4784","30501.75","3.75","815625","-91125","6976.35"
"NIFTY","12-Feb-2016","25-Feb-2016","CE","8500","1.35","1.5","1.05","1.4","1.4","1.4","4869","31044.41","4.53","748275","-67350","6980.95"
"NIFTY","15-Feb-2016","25-Feb-2016","CE","8500","1.5","1.5","0.7","0.75","0.7","0.75","1945","12400.64","1.26","752325","4050","7162.95"
"NIFTY","16-Feb-2016","25-Feb-2016","CE","8500","2.85","2.85","0.6","0.7","0.7","0.7","2108","13439.57","1.07","741450","-10875","7048.25"
"NIFTY","17-Feb-2016","25-Feb-2016","CE","8500","0.5","0.85","0.5","0.75","0.75","0.75","575","3665.94",".32","738750","-2700","7108.45"
"NIFTY","18-Feb-2016","25-Feb-2016","CE","8500","0.8","0.8","0.5","0.6","0.6","0.6","6352","40496.87","2.87","735300","-3450","7191.75"
"NIFTY","19-Feb-2016","25-Feb-2016","CE","8500","0.7","0.8","0.4","0.5","0.45","0.5","1441","9186.92",".54","730800","-4500","7210.75"
"NIFTY","22-Feb-2016","25-Feb-2016","CE","8500","0.25","0.75","0.2","0.3","0.35","0.3","737","4698.61",".23","725925","-4875","7234.55"
"NIFTY","23-Feb-2016","25-Feb-2016","CE","8500","0.1","0.35","0.1","0.2","0.2","0.2","139","886.14",".02","719100","-6825","7109.55"
"NIFTY","24-Feb-2016","25-Feb-2016","CE","8500","0.1","0.3","0.1","0.25","0.3","0.25","326","2078.3",".05","714975","-4125","7018.7"
"NIFTY","25-Feb-2016","25-Feb-2016","CE","8500","0.05","0.05","0.05","0.05","0.05","0","3025","19284.49",".11","719250","4275","6970.6"
