"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","13-Jan-2016","31-Mar-2016","PE","6900","56.25","80","52","57","57","57","158","825.41","7.76","241200","1200","7562.4"
"NIFTY","14-Jan-2016","31-Mar-2016","PE","6900","77.8","77.8","54","63.8","64.5","63.8","58","302.94","2.79","241650","450","7536.8"
"NIFTY","15-Jan-2016","31-Mar-2016","PE","6900","64.5","83.9","64","81.55","83.9","81.55","470","2456.88","24.63","270450","28800","7437.8"
"NIFTY","18-Jan-2016","31-Mar-2016","PE","6900","85","100","72.4","93.7","94.95","93.7","731","3829.39","46.47","304050","33600","7351"
"NIFTY","19-Jan-2016","31-Mar-2016","PE","6900","85.7","90","70","73.1","72.2","73.1","465","2433.06","26.69","313950","9900","7435.1"
"NIFTY","20-Jan-2016","31-Mar-2016","PE","6900","102.65","139.4","99.25","115.5","114.9","115.5","1168","6143.3","98.9","340125","26175","7309.3"
"NIFTY","21-Jan-2016","31-Mar-2016","PE","6900","95","130.55","90.8","119.3","118.1","119.3","287","1509.79","24.57","341925","1800","7276.8"
"NIFTY","22-Jan-2016","31-Mar-2016","PE","6900","105","106.7","80.8","82.85","84","82.85","644","3378.55","45.85","343800","1875","7422.45"
"NIFTY","25-Jan-2016","31-Mar-2016","PE","6900","75.45","80.25","69.3","79.3","80.1","79.3","747","3907.12","41.39","367800","24000","7436.15"
"NIFTY","27-Jan-2016","31-Mar-2016","PE","6900","84.05","84.05","73.5","77.7","75.7","77.7","212","1109.7","12.6","369375","1575","7437.75"
"NIFTY","28-Jan-2016","31-Mar-2016","PE","6900","74.1","74.5","62","68.85","70.05","68.85","805","4207.57","41.7","394875","25500","7424.65"
"NIFTY","29-Jan-2016","31-Mar-2016","PE","6900","65.6","72.4","46.85","48.45","48.1","48.45","1504","7849.1","65.9","422175","27300","7563.55"
"NIFTY","01-Feb-2016","31-Mar-2016","PE","6900","45.9","48.4","41.7","44.15","45.3","44.15","2091","10890.71","69.79","441900","19725","7555.95"
"NIFTY","02-Feb-2016","31-Mar-2016","PE","6900","44.25","58.65","37.5","55.2","56.95","55.2","2316","12063.86","78.56","472425","30525","7455.55"
"NIFTY","03-Feb-2016","31-Mar-2016","PE","6900","66.15","71.4","59.1","67.1","67.35","67.1","6605","34502.01","321.13","538275","65850","7361.8"
"NIFTY","04-Feb-2016","31-Mar-2016","PE","6900","57.15","65.4","48.2","56.8","54","56.8","4385","22869.45","177.07","557775","19500","7404"
"NIFTY","05-Feb-2016","31-Mar-2016","PE","6900","54.6","57.3","43.95","45.5","43.95","45.5","4000","20847.51","147.51","550275","-7500","7489.1"
"NIFTY","08-Feb-2016","31-Mar-2016","PE","6900","48.95","69.8","43.9","66.2","68.6","66.2","3414","17801.93","134.48","554250","3975","7387.25"
"NIFTY","09-Feb-2016","31-Mar-2016","PE","6900","80","98.7","75.1","90.6","89.15","90.6","5774","30261.04","380.59","590775","36525","7298.2"
"NIFTY","10-Feb-2016","31-Mar-2016","PE","6900","96","129.75","96","113.5","111.5","113.5","9544","50191.5","801.3","804225","213450","7215.7"
"NIFTY","11-Feb-2016","31-Mar-2016","PE","6900","122.35","224.7","120.35","210.65","214.7","210.65","10399","55073.15","1258.33","968025","163800","6976.35"
"NIFTY","12-Feb-2016","31-Mar-2016","PE","6900","192.8","257.1","177.1","199.25","188.6","199.25","14408","76848.44","2287.04","1032375","64350","6980.95"
