"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","29-Jan-2016","28-Apr-2016","PE","7100","111.5","111.5","95","97","97","97","31","167.34","2.27","1275","1275","7563.55"
"NIFTY","01-Feb-2016","28-Apr-2016","PE","7100","75","92","75","88.8","91.2","88.8","293","1579.46","19.23","14100","12825","7555.95"
"NIFTY","02-Feb-2016","28-Apr-2016","PE","7100","88.5","112.9","78.6","107.2","107","107.2","187","1009.58","13.81","22500","8400","7455.55"
"NIFTY","03-Feb-2016","28-Apr-2016","PE","7100","119.2","131","111.7","123.3","126.1","123.3","65","352.06","5.94","22950","450","7361.8"
"NIFTY","04-Feb-2016","28-Apr-2016","PE","7100","109.55","118","100.7","110.75","111.7","110.75","300","1622.2","24.7","35325","12375","7404"
"NIFTY","05-Feb-2016","28-Apr-2016","PE","7100","107.9","107.9","88","90.5","88","90.5","827","4460.3","56.52","89475","54150","7489.1"
"NIFTY","08-Feb-2016","28-Apr-2016","PE","7100","90.35","126.05","86","119.85","125.7","119.85","259","1397.71","18.53","96675","7200","7387.25"
"NIFTY","09-Feb-2016","28-Apr-2016","PE","7100","132.15","165","132.15","154.85","153","154.85","246","1337.56","27.61","94650","-2025","7298.2"
"NIFTY","10-Feb-2016","28-Apr-2016","PE","7100","173.2","204","173.2","181.35","180.1","181.35","146","797.82","20.37","95550","900","7215.7"
"NIFTY","11-Feb-2016","28-Apr-2016","PE","7100","197.8","315.75","197.6","302.45","310","302.45","291","1602.68","53.11","94575","-975","6976.35"
"NIFTY","12-Feb-2016","28-Apr-2016","PE","7100","300","353","269.8","295.35","302","295.35","162","898.32","35.67","93075","-1500","6980.95"
"NIFTY","15-Feb-2016","28-Apr-2016","PE","7100","226.45","227.9","193","200.7","203.9","200.7","331","1813.57","51","93675","600","7162.95"
"NIFTY","16-Feb-2016","28-Apr-2016","PE","7100","191","250","191","240.45","245.85","240.45","168","922.86","28.26","93525","-150","7048.25"
"NIFTY","17-Feb-2016","28-Apr-2016","PE","7100","210.4","284","199","202.1","203","202.1","257","1414.21","45.68","94350","825","7108.45"
"NIFTY","18-Feb-2016","28-Apr-2016","PE","7100","166","196","165.9","172.65","175.6","172.65","199","1086.96","27.29","94950","600","7191.75"
"NIFTY","19-Feb-2016","28-Apr-2016","PE","7100","175.6","177.15","147","154.8","154.7","154.8","1068","5811.3","124.2","144525","49575","7210.75"
"NIFTY","22-Feb-2016","28-Apr-2016","PE","7100","152.8","153.55","137.5","142.2","139.65","142.2","3175","17249.06","342.18","284175","139650","7234.55"
