"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","13-Jan-2016","25-Feb-2016","PE","7100","47.2","77","40.45","46.3","46.55","46.3","8137","43692.57","363.05","826125","38775","7562.4"
"NIFTY","14-Jan-2016","25-Feb-2016","PE","7100","64","71.3","40","50.5","50","50.5","8564","45963.47","360.17","918675","92550","7536.8"
"NIFTY","15-Jan-2016","25-Feb-2016","PE","7100","44.65","76","44.65","72.5","74.85","72.5","5331","28637.99","250.42","991725","73050","7437.8"
"NIFTY","18-Jan-2016","25-Feb-2016","PE","7100","75","93.45","64.65","87.25","86.2","87.25","10423","56075.99","573.52","985200","-6525","7351"
"NIFTY","19-Jan-2016","25-Feb-2016","PE","7100","74.7","80.75","54.65","59.9","60.8","59.9","11325","60863.73","558.11","1225050","239850","7435.1"
"NIFTY","20-Jan-2016","25-Feb-2016","PE","7100","80","134.65","80","105","102.7","105","16486","89084.55","1296.6","1397700","172650","7309.3"
"NIFTY","21-Jan-2016","25-Feb-2016","PE","7100","85.05","122.2","75.6","103.9","103.4","103.9","18299","98831.74","1389.57","1531200","133500","7276.8"
"NIFTY","22-Jan-2016","25-Feb-2016","PE","7100","80","89.55","55.15","56.85","55.6","56.85","17050","91634.97","843.72","1687950","156750","7422.45"
"NIFTY","25-Jan-2016","25-Feb-2016","PE","7100","51.3","53.7","42.55","49.5","48.5","49.5","15870","85066.83","559.08","1765500","77550","7436.15"
"NIFTY","27-Jan-2016","25-Feb-2016","PE","7100","47","53.1","42.6","50.15","49.9","50.15","17416","93381.51","641.31","1927950","162450","7437.75"
"NIFTY","28-Jan-2016","25-Feb-2016","PE","7100","53.2","53.25","32.7","39.2","39.95","39.2","29693","158999.74","884.51","2393400","465450","7424.65"
"NIFTY","29-Jan-2016","25-Feb-2016","PE","7100","40","45","23.4","24.5","25","24.5","84931","454329.66","2072.09","2976675","583275","7563.55"
"NIFTY","01-Feb-2016","25-Feb-2016","PE","7100","20.25","24.7","19.4","22.75","23.9","22.75","50123","267728.24","823.27","2696925","-279750","7555.95"
"NIFTY","02-Feb-2016","25-Feb-2016","PE","7100","21.8","31.5","15.55","28.15","30.3","28.15","94621","505411.87","1555.04","2365500","-331425","7455.55"
"NIFTY","03-Feb-2016","25-Feb-2016","PE","7100","36","43.5","32.35","40.4","40","40.4","113013","605074.28","3280.06","2768850","403350","7361.8"
"NIFTY","04-Feb-2016","25-Feb-2016","PE","7100","32.5","40.4","23.5","31.6","29.4","31.6","87610","468547.12","2023.87","2684625","-84225","7404"
"NIFTY","05-Feb-2016","25-Feb-2016","PE","7100","29.4","30.25","17.2","18.3","17.6","18.3","112048","598523.46","1867.86","2228550","-456075","7489.1"
"NIFTY","08-Feb-2016","25-Feb-2016","PE","7100","21.15","39.8","16","34.9","37.75","34.9","90382","482944.28","1660.13","2330775","102225","7387.25"
"NIFTY","09-Feb-2016","25-Feb-2016","PE","7100","54","59.95","43.4","52","50.3","52","193398","1037317.41","7473.06","4031250","1700475","7298.2"
"NIFTY","10-Feb-2016","25-Feb-2016","PE","7100","62.6","91.6","57.55","69.2","67.95","69.2","252397","1357539.19","13525.16","4328550","297300","7215.7"
"NIFTY","11-Feb-2016","25-Feb-2016","PE","7100","75.8","210.75","75.8","196.45","202.6","196.45","308875","1673588.92","28829.54","3832275","-496275","6976.35"
"NIFTY","12-Feb-2016","25-Feb-2016","PE","7100","171.85","269.5","141.75","174.8","181","174.8","85708","469211.61","12816.51","3361575","-470700","6980.95"
"NIFTY","15-Feb-2016","25-Feb-2016","PE","7100","127","127","48.05","63.95","65.55","63.95","280660","1509031.19","14516.69","5043225","1681650","7162.95"
"NIFTY","16-Feb-2016","25-Feb-2016","PE","7100","44.25","124","42.7","114.1","115.7","114.1","442260","2381141.19","26106.69","4607400","-435825","7048.25"
"NIFTY","17-Feb-2016","25-Feb-2016","PE","7100","124.8","170.5","66.45","72.4","67.7","72.4","238317","1289405.19","20367.16","4525800","-81600","7108.45"
"NIFTY","18-Feb-2016","25-Feb-2016","PE","7100","55","64.75","31.45","36.05","37.95","36.05","442892","2373842.71","15442.81","5006925","481125","7191.75"
"NIFTY","19-Feb-2016","25-Feb-2016","PE","7100","35.4","43.35","14.5","18.3","18.05","18.3","408393","2182759.89","8067.17","4530075","-476850","7210.75"
"NIFTY","22-Feb-2016","25-Feb-2016","PE","7100","7.1","14.9","7.05","8.25","8.1","8.25","302547","1613400.23","2337.46","4173600","-356475","7234.55"
"NIFTY","23-Feb-2016","25-Feb-2016","PE","7100","8","44.4","7.05","33.4","33.1","33.4","692170","3699238.73","13433.48","4272375","98775","7109.55"
"NIFTY","24-Feb-2016","25-Feb-2016","PE","7100","40","93.35","29.3","84","79.1","84","695614","3733070.26","28925.71","2327850","-1944525","7018.7"
"NIFTY","25-Feb-2016","25-Feb-2016","PE","7100","45.35","130.65","45.35","124.25","124.95","0","208589","1126217.48","15481.05","390825","-1937025","6970.6"
