"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","13-Jan-2016","30-Jun-2016","PE","7500","0","0","0","245","245","216.8","0","0","0","23325","0","7562.4"
"NIFTY","14-Jan-2016","30-Jun-2016","PE","7500","0","0","0","245","245","215.85","0","0","0","23325","0","7536.8"
"NIFTY","15-Jan-2016","30-Jun-2016","PE","7500","0","0","0","245","245","263.25","0","0","0","23325","0","7437.8"
"NIFTY","18-Jan-2016","30-Jun-2016","PE","7500","310","310","310","310","310","310","1","5.86",".23","23325","0","7351"
"NIFTY","19-Jan-2016","30-Jun-2016","PE","7500","295","314.7","290","304.05","304","304.05","839","4912.2","192.82","83775","60450","7435.1"
"NIFTY","20-Jan-2016","30-Jun-2016","PE","7500","375","385","370","385","385","385","33","194.97","9.34","84750","975","7309.3"
"NIFTY","21-Jan-2016","30-Jun-2016","PE","7500","395","395","390","393.25","395","393.25","9","53.28","2.65","84750","0","7276.8"
"NIFTY","22-Jan-2016","30-Jun-2016","PE","7500","333.15","333.15","333.15","333.15","333.15","333.15","1","5.87",".25","84750","0","7422.45"
"NIFTY","25-Jan-2016","30-Jun-2016","PE","7500","297.6","297.6","295.1","295.1","295.1","295.1","2","11.69",".44","84750","0","7436.15"
"NIFTY","27-Jan-2016","30-Jun-2016","PE","7500","310","315","310","312","312","312","4","23.44",".94","84750","0","7437.75"
"NIFTY","28-Jan-2016","30-Jun-2016","PE","7500","310","310","305","305","305","305","7","40.99","1.62","84750","0","7424.65"
"NIFTY","29-Jan-2016","30-Jun-2016","PE","7500","310","310","260.1","267.05","260.1","267.05","63","367.86","13.48","86925","2175","7563.55"
"NIFTY","01-Feb-2016","30-Jun-2016","PE","7500","245","273","245","273","273","273","3","17.46",".58","86925","0","7555.95"
"NIFTY","02-Feb-2016","30-Jun-2016","PE","7500","280","280","280","280","280","280","15","87.53","3.15","87000","75","7455.55"
"NIFTY","03-Feb-2016","30-Jun-2016","PE","7500","333.9","350","325","342.1","350","342.1","76","446.65","19.15","86925","-75","7361.8"
"NIFTY","04-Feb-2016","30-Jun-2016","PE","7500","319.8","339","306","322","321.35","322","37","217.04","8.91","87600","675","7404"
"NIFTY","05-Feb-2016","30-Jun-2016","PE","7500","300","303","280","280","280","280","59","344.75","12.88","87600","0","7489.1"
"NIFTY","08-Feb-2016","30-Jun-2016","PE","7500","273","330","263","320.25","330","320.25","484","2822.77","100.27","91875","4275","7387.25"
"NIFTY","09-Feb-2016","30-Jun-2016","PE","7500","360","378","345","372.45","370","372.45","503","2967.83","138.45","110325","18450","7298.2"
"NIFTY","10-Feb-2016","30-Jun-2016","PE","7500","413.4","445","410.05","415.7","412.45","415.7","175","1039.47","55.09","113550","3225","7215.7"
"NIFTY","11-Feb-2016","30-Jun-2016","PE","7500","450","550","450","550","550","550","139","830.95","49.07","119100","5550","6976.35"
"NIFTY","12-Feb-2016","30-Jun-2016","PE","7500","605","605","566.6","601.35","602","601.35","42","255.09","18.84","119850","750","6980.95"
"NIFTY","15-Feb-2016","30-Jun-2016","PE","7500","490","507.4","451","474.7","475","474.7","37","221.22","13.1","119475","-375","7162.95"
"NIFTY","16-Feb-2016","30-Jun-2016","PE","7500","470","535.55","456","535.55","535.55","535.55","82","490.72","29.47","120750","1275","7048.25"
"NIFTY","17-Feb-2016","30-Jun-2016","PE","7500","485","485","485","485","485","485","4","23.96","1.46","120450","-300","7108.45"
"NIFTY","18-Feb-2016","30-Jun-2016","PE","7500","455","455","455","455","455","455","2","11.93",".68","120600","150","7191.75"
"NIFTY","19-Feb-2016","30-Jun-2016","PE","7500","435","435","429","434","434","434","4","23.8","1.3","120375","-225","7210.75"
"NIFTY","22-Feb-2016","30-Jun-2016","PE","7500","407.9","416.1","401","408.55","401","408.55","12","71.18","3.68","120825","450","7234.55"
"NIFTY","23-Feb-2016","30-Jun-2016","PE","7500","479.5","480","479","480","480","480","3","17.95","1.08","120900","75","7109.55"
"NIFTY","24-Feb-2016","30-Jun-2016","PE","7500","510.15","525","510","525","525","525","30","180.38","11.63","123150","2250","7018.7"
"NIFTY","25-Feb-2016","30-Jun-2016","PE","7500","580","580","539.85","539.85","539.85","539.85","5","30.22","2.09","123525","375","6970.6"
"NIFTY","26-Feb-2016","30-Jun-2016","PE","7500","0","0","0","539.85","539.85","549.85","0","0","0","123525","0","7029.75"
"NIFTY","29-Feb-2016","30-Jun-2016","PE","7500","580","599.9","485","538.9","549.9","538.9","18","108.6","7.35","123150","-375","6987.05"
