"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","26-Feb-2016","26-May-2016","PE","7600","0","0","0","641.95","0","595.8","0","0","0","0","0","7029.75"
"NIFTY","29-Feb-2016","26-May-2016","PE","7600","0","0","0","641.95","0","615.6","0","0","0","0","0","6987.05"
"NIFTY","01-Mar-2016","26-May-2016","PE","7600","0","0","0","641.95","0","520.65","0","0","0","0","0","7222.3"
"NIFTY","02-Mar-2016","26-May-2016","PE","7600","332","354","320.05","339.2","335.6","339.2","1402","8343.08","351.68","88725","88725","7368.85"
"NIFTY","03-Mar-2016","26-May-2016","PE","7600","315","321","284","284.75","284","284.75","15","88.86","3.36","89100","375","7475.6"
"NIFTY","04-Mar-2016","26-May-2016","PE","7600","300","300","285","289","289","289","4","23.67",".87","89100","0","7485.35"
"NIFTY","08-Mar-2016","26-May-2016","PE","7600","270","270","270","270","270","270","1","5.9",".2","89100","0","7485.3"
"NIFTY","09-Mar-2016","26-May-2016","PE","7600","275","275","222","224.35","223","224.35","1389","8173.77","256.47","173100","84000","7531.8"
"NIFTY","10-Mar-2016","26-May-2016","PE","7600","230.55","268.25","229.55","240.55","239.9","240.55","1840","10826.4","338.4","267900","94800","7486.15"
"NIFTY","11-Mar-2016","26-May-2016","PE","7600","248.35","251.8","210.5","222.5","221","222.5","1979","11608.96","328.66","343050","75150","7510.2"
"NIFTY","14-Mar-2016","26-May-2016","PE","7600","196.55","213.05","185.7","204.55","208.55","204.55","1152","6738.72","172.32","399150","56100","7538.75"
"NIFTY","15-Mar-2016","26-May-2016","PE","7600","199","234.2","199","226.45","226.35","226.45","121","709.18","19.48","395850","-3300","7460.6"
"NIFTY","16-Mar-2016","26-May-2016","PE","7600","241.25","250","203","206.25","206","206.25","185","1084.63","30.13","397425","1575","7498.75"
"NIFTY","17-Mar-2016","26-May-2016","PE","7600","175","225.95","170.65","220.05","225","220.05","195","1139.18","27.68","401025","3600","7512.55"
"NIFTY","18-Mar-2016","26-May-2016","PE","7600","194.8","204.4","168.6","175.9","177.55","175.9","448","2615.65","62.05","417300","16275","7604.35"
"NIFTY","21-Mar-2016","26-May-2016","PE","7600","167.55","169.45","133.6","137.75","138","137.75","500","2908.38","58.38","423375","6075","7704.25"
