"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","01-Nov-2016","29-Dec-2016","PE","7800","18.3","23.3","17.7","21","20.75","21","620","3636.92","9.92","68550","4575","8000.0"
"NIFTY","02-Nov-2016","29-Dec-2016","PE","7800","25.75","31.8","25.75","30.5","30","30.5","3122","18333.17","69.47","114450","45900","8000.0"
"NIFTY","03-Nov-2016","29-Dec-2016","PE","7800","31","32.3","25.6","28.35","28.3","28.35","1911","11219.53","40.18","147150","32700","8000.0"
"NIFTY","04-Nov-2016","29-Dec-2016","PE","7800","27.2","36.35","27.2","32.45","30.1","32.45","3464","20349.73","85.33","180900","33750","8433.75"
"NIFTY","07-Nov-2016","29-Dec-2016","PE","7800","25.3","27.35","22.5","25.3","27","25.3","1579","9266.09","28.94","182550","1650","8497.05"
"NIFTY","08-Nov-2016","29-Dec-2016","PE","7800","23.9","26.35","20.1","22.55","24.4","22.55","2074","12170.61","37.71","190350","7800","8543.55"
"NIFTY","09-Nov-2016","29-Dec-2016","PE","7800","29.35","82.65","24.8","29.8","29.15","29.8","12525","73773.06","501.81","252225","61875","8432"
"NIFTY","10-Nov-2016","29-Dec-2016","PE","7800","20.7","24.5","15.5","19.6","22","19.6","3737","21912.54","51.09","220725","-31500","8525.75"
"NIFTY","11-Nov-2016","29-Dec-2016","PE","7800","24.75","43.6","24.75","41.75","42.25","41.75","9526","55977.69","250.59","426375","205650","8296.3"
"NIFTY","15-Nov-2016","29-Dec-2016","PE","7800","47.2","82","47.2","75.8","81.35","75.8","16149","95264.48","792.83","537675","111300","8108.45"
"NIFTY","16-Nov-2016","29-Dec-2016","PE","7800","56.35","81.95","51.9","75.5","81.95","75.5","17123","101018.63","849.08","722775","185100","8111.6"
"NIFTY","17-Nov-2016","29-Dec-2016","PE","7800","70.3","79.15","58.8","74.3","70.5","74.3","20600","121568.84","1058.84","908550","185775","8079.95"
"NIFTY","18-Nov-2016","29-Dec-2016","PE","7800","69.5","79.5","57.7","72.8","74.55","72.8","13415","79177.35","699.6","1012950","104400","8074.1"
"NIFTY","21-Nov-2016","29-Dec-2016","PE","7800","67","115.5","66.3","108.95","102.9","108.95","33667","199451.54","2499.59","1483650","470700","7929.1"
"NIFTY","22-Nov-2016","29-Dec-2016","PE","7800","88.2","108","78.9","84.15","81","84.15","23915","141580.07","1677.32","1620150","136500","8002.3"
"NIFTY","23-Nov-2016","29-Dec-2016","PE","7800","73.05","98.95","71.3","77.2","80","77.2","24644","145665.19","1497.79","1835250","215100","8033.3"
"NIFTY","24-Nov-2016","29-Dec-2016","PE","7800","88.3","96.65","69","82.8","84.25","82.8","42484","251145.19","2613.79","2140275","305025","7965.5"
"NIFTY","25-Nov-2016","29-Dec-2016","PE","7800","77.8","86.45","55","57.45","59","57.45","75095","443106.94","3801.19","2448075","307800","8114.3"
"NIFTY","28-Nov-2016","29-Dec-2016","PE","7800","60.2","67.75","47.25","51.45","52","51.45","46626","274613.34","1851.24","2560725","112650","8126.9"
"NIFTY","29-Nov-2016","29-Dec-2016","PE","7800","48.6","52.75","38.7","46.2","45.05","46.2","54620","321302.32","1775.32","2638200","77475","8142.15"
"NIFTY","30-Nov-2016","29-Dec-2016","PE","7800","40.7","46.65","29.5","30.55","31.45","30.55","47987","282043.28","1319.33","2738625","100425","8224.5"
"NIFTY","01-Dec-2016","29-Dec-2016","PE","7800","30.3","38.9","27.6","37.55","37.25","37.55","39088","229690.05","1025.25","2743275","4650","8192.9"
"NIFTY","02-Dec-2016","29-Dec-2016","PE","7800","45.7","54.95","37.5","52.7","52.7","52.7","71633","421565.38","2512.33","2696025","-47250","8086.8"
"NIFTY","05-Dec-2016","29-Dec-2016","PE","7800","40.25","56.65","36.5","38.4","36.85","38.4","67984","400070.89","2364.49","2826525","130500","8128.75"
"NIFTY","06-Dec-2016","29-Dec-2016","PE","7800","37.55","37.8","29.1","34.55","34.75","34.55","51269","301205.21","1281.56","2828175","1650","8143.15"
"NIFTY","07-Dec-2016","29-Dec-2016","PE","7800","29.7","42.05","25.5","37.4","33.3","37.4","78623","461937.44","1992.89","2794875","-33300","8102.05"
"NIFTY","08-Dec-2016","29-Dec-2016","PE","7800","25.05","25.45","16.15","18.45","18.95","18.45","74218","435243.77","1068.47","3067650","272775","8246.85"
"NIFTY","09-Dec-2016","29-Dec-2016","PE","7800","14","18.5","11.95","14.9","14.8","14.9","39787","233218.72","464.77","3065700","-1950","8261.75"
