"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","29-Apr-2016","28-Jul-2016","PE","7900","260","260","216.05","220.25","223","220.25","12","73.11","2.01","675","675","7849.8"
"NIFTY","02-May-2016","28-Jul-2016","PE","7900","251","259.3","236","241.8","241.8","241.8","79","482.77","14.69","3825","3150","7805.9"
"NIFTY","03-May-2016","28-Jul-2016","PE","7900","207.15","269.1","203","267.4","267.4","267.4","31","188.82","5.14","4125","300","7747"
"NIFTY","04-May-2016","28-Jul-2016","PE","7900","276.25","302.55","265","302.55","302.55","302.55","12","73.58","2.48","4725","600","7706.55"
"NIFTY","05-May-2016","28-Jul-2016","PE","7900","281.3","293.35","255","261","261","261","36","220.89","7.59","6000","1275","7735.5"
"NIFTY","06-May-2016","28-Jul-2016","PE","7900","299.95","303.35","272","272","272","272","7","43.03","1.55","6150","150","7733.45"
"NIFTY","09-May-2016","28-Jul-2016","PE","7900","260","260","193.25","197.7","198.9","197.7","256","1555.62","38.82","17025","10875","7866.05"
"NIFTY","10-May-2016","28-Jul-2016","PE","7900","210","223.25","188.5","193.8","193.05","193.8","310","1883.6","46.85","30675","13650","7887.8"
"NIFTY","11-May-2016","28-Jul-2016","PE","7900","240","240","200","212.75","213.45","212.75","179","1089.02","28.44","30150","-525","7848.85"
"NIFTY","12-May-2016","28-Jul-2016","PE","7900","196.6","227.8","182.05","185.4","184.35","185.4","379","2299.85","54.27","39600","9450","7900.4"
"NIFTY","13-May-2016","28-Jul-2016","PE","7900","203.95","250","203.15","231.65","227.6","231.65","302","1842.68","53.33","39300","-300","7814.9"
"NIFTY","16-May-2016","28-Jul-2016","PE","7900","233","256.75","201","203.1","203.05","203.1","40","243.85","6.85","40275","975","7860.75"
"NIFTY","17-May-2016","28-Jul-2016","PE","7900","191","193.5","170.85","191.75","193","191.75","468","2837.62","64.72","56250","15975","7890.75"
"NIFTY","18-May-2016","28-Jul-2016","PE","7900","221","234.6","194.65","197.85","195.45","197.85","199","1210.9","31.83","57450","1200","7870.15"
"NIFTY","19-May-2016","28-Jul-2016","PE","7900","220.35","252.15","206.3","249.5","251.8","249.5","433","2637.11","71.59","57750","300","7783.4"
"NIFTY","20-May-2016","28-Jul-2016","PE","7900","233.3","255","228","249.6","250","249.6","247","1508.7","45.23","61575","3825","7749.7"
"NIFTY","23-May-2016","28-Jul-2016","PE","7900","241.9","272.95","215","260.8","260.8","260.8","339","2066.16","57.58","73350","11775","7731.05"
"NIFTY","24-May-2016","28-Jul-2016","PE","7900","253.75","258.05","238","242.5","239.95","242.5","113","690.38","20.85","71325","-2025","7748.85"
"NIFTY","25-May-2016","28-Jul-2016","PE","7900","199","247.5","149.7","152.6","153.2","152.6","1466","8870.3","184.25","119250","47925","7934.9"
"NIFTY","26-May-2016","28-Jul-2016","PE","7900","144.85","148","107.35","111.55","108","111.55","2668","16061.23","253.33","179925","60675","8069.65"
"NIFTY","27-May-2016","28-Jul-2016","PE","7900","103.95","104","82.4","83.6","83.9","83.6","4580","27450.47","313.97","313950","134025","8156.65"
"NIFTY","30-May-2016","28-Jul-2016","PE","7900","85","86.05","73.15","80.45","82.75","80.45","2144","12832.28","129.08","325350","11400","8178.5"
"NIFTY","31-May-2016","28-Jul-2016","PE","7900","77.7","89.75","75.6","81.65","79.95","81.65","2093","12530.89","129.87","337200","11850","8160.1"
"NIFTY","01-Jun-2016","28-Jul-2016","PE","7900","79.2","84.9","74","79.35","79","79.35","2005","11997.73","118.11","357600","20400","8179.95"
"NIFTY","02-Jun-2016","28-Jul-2016","PE","7900","82.15","85.75","63.95","66.2","66","66.2","1799","10760.07","100.99","390900","33300","8218.95"
"NIFTY","03-Jun-2016","28-Jul-2016","PE","7900","61.05","69.55","59.65","64.3","64.5","64.3","2534","15135.48","121.53","396000","5100","8220.8"
"NIFTY","06-Jun-2016","28-Jul-2016","PE","7900","63","68.55","60.1","63.6","64.25","63.6","1789","10684.89","85.06","408000","12000","8201.05"
"NIFTY","07-Jun-2016","28-Jul-2016","PE","7900","59.55","63.45","46.15","52.35","53.05","52.35","4293","25608.47","172.45","420300","12300","8266.45"
"NIFTY","08-Jun-2016","28-Jul-2016","PE","7900","53","55.65","49.9","51.8","51.7","51.8","2324","13862.03","92.33","430575","10275","8273.05"
"NIFTY","09-Jun-2016","28-Jul-2016","PE","7900","53.2","67.9","52.25","61.9","63.2","61.9","3246","19379.01","146.46","430500","-75","8203.6"
"NIFTY","10-Jun-2016","28-Jul-2016","PE","7900","64.85","81.35","45","68.3","66.95","68.3","5852","34951.21","278.11","443625","13125","8170.05"
"NIFTY","13-Jun-2016","28-Jul-2016","PE","7900","85.6","96.4","69.5","82.1","82.5","82.1","4045","24229.89","263.27","464325","20700","8110.6"
"NIFTY","14-Jun-2016","28-Jul-2016","PE","7900","80.3","99.3","79","87.55","87.2","87.55","3335","19985.34","225.47","465975","1650","8108.85"
"NIFTY","15-Jun-2016","28-Jul-2016","PE","7900","79.2","86.95","64.3","66.25","67.95","66.25","5226","31261.38","297.33","483225","17250","8206.6"
"NIFTY","16-Jun-2016","28-Jul-2016","PE","7900","76","103.75","73.85","81.95","84","81.95","4596","27543.76","312.46","501975","18750","8140.75"
"NIFTY","17-Jun-2016","28-Jul-2016","PE","7900","74","81.25","65.6","74.1","76.55","74.1","6150","36780.18","341.43","516900","14925","8170.2"
"NIFTY","20-Jun-2016","28-Jul-2016","PE","7900","81","90.4","55.45","57.15","57.2","57.15","6893","41192.03","351.01","563850","46950","8238.5"
"NIFTY","21-Jun-2016","28-Jul-2016","PE","7900","59","63.7","56.4","57.4","57.15","57.4","4311","25736.36","193.68","592050","28200","8219.9"
"NIFTY","22-Jun-2016","28-Jul-2016","PE","7900","56.35","74.9","53","65.05","65.3","65.05","5038","30087.43","237.28","606375","14325","8203.7"
"NIFTY","23-Jun-2016","28-Jul-2016","PE","7900","66.65","69.55","47.25","51.5","52.2","51.5","13445","80273.21","611.58","852975","246600","8270.45"
"NIFTY","24-Jun-2016","28-Jul-2016","PE","7900","88.3","158.15","88.3","93.75","96.6","93.75","44379","267168.79","4223.22","925050","72075","8088.6"
"NIFTY","27-Jun-2016","28-Jul-2016","PE","7900","101.25","103.05","77.45","81.8","84","81.8","28468","170528.21","1855.31","1204200","279150","8094.7"
"NIFTY","28-Jun-2016","28-Jul-2016","PE","7900","82.9","85.35","61.45","67.75","69.55","67.75","19292","115328.21","1023.11","1387275","183075","8127.85"
"NIFTY","29-Jun-2016","28-Jul-2016","PE","7900","57.2","59.2","41.1","42.35","43.35","42.35","33584","200198.44","1213.24","1692375","305100","8204"
"NIFTY","30-Jun-2016","28-Jul-2016","PE","7900","35","36.95","28.85","32.55","31.3","32.55","51626","307162.3","1278.25","1899075","206700","8287.75"
"NIFTY","01-Jul-2016","28-Jul-2016","PE","7900","30.3","30.8","23.4","25.5","25.35","25.5","47620","283105.24","956.74","2038650","139575","8328.35"
"NIFTY","04-Jul-2016","28-Jul-2016","PE","7900","21.35","22.25","17.95","20.15","19.75","20.15","31831","189076.73","478.06","2004600","-34050","8370.7"
"NIFTY","05-Jul-2016","28-Jul-2016","PE","7900","18.35","23.75","18.1","18.95","18.65","18.95","27402","162771.92","415.07","1973850","-30750","8335.95"
"NIFTY","07-Jul-2016","28-Jul-2016","PE","7900","17","19.45","13.7","16.05","15.25","16.05","29424","174704.56","367.36","2091900","118050","8337.9"
"NIFTY","08-Jul-2016","28-Jul-2016","PE","7900","18","21.85","12.3","15.75","15","15.75","44684","265342.9","590.2","2243925","152025","8323.2"
"NIFTY","11-Jul-2016","28-Jul-2016","PE","7900","8.7","9.15","6.2","6.5","6.9","6.5","40315","239075.89","209.51","2074800","-169125","8467.9"
"NIFTY","12-Jul-2016","28-Jul-2016","PE","7900","5","6.4","4.55","5.5","5.85","5.5","17468","103573.78","75.88","1955025","-119775","8521.05"
"NIFTY","13-Jul-2016","28-Jul-2016","PE","7900","5.45","6.5","5.2","6.15","6.3","6.15","14730","87341.77","66.52","2069850","114825","8519.5"
"NIFTY","14-Jul-2016","28-Jul-2016","PE","7900","6.5","6.5","4.85","5.15","5.2","5.15","16688","98942.82","66.42","2123025","53175","8565"
"NIFTY","15-Jul-2016","28-Jul-2016","PE","7900","5.55","5.6","3.75","4.25","3.95","4.25","21832","129431.19","76.59","2164950","41925","8541.4"
"NIFTY","18-Jul-2016","28-Jul-2016","PE","7900","3.95","4","2.5","2.95","2.95","2.95","32371","191867.42","69.25","2181975","17025","8508.7"
"NIFTY","19-Jul-2016","28-Jul-2016","PE","7900","2.3","3","2.15","2.3","2.2","2.3","21599","128013.74","39.66","2348550","166575","8528.55"
"NIFTY","20-Jul-2016","28-Jul-2016","PE","7900","1.65","2.1","1.65","1.9","1.8","1.9","13121","77760.7","18.77","2305875","-42675","8565.85"
"NIFTY","21-Jul-2016","28-Jul-2016","PE","7900","1.5","1.85","1.45","1.65","1.6","1.65","9338","55339.45","11.8","2182425","-123450","8510.1"
"NIFTY","22-Jul-2016","28-Jul-2016","PE","7900","1.6","1.6","1.1","1.2","1.2","1.2","7280","43140.89","6.89","2155950","-26475","8541.2"
"NIFTY","25-Jul-2016","28-Jul-2016","PE","7900","0.9","0.95","0.6","0.85","0.85","0.85","9189","54450.02","5.19","2056800","-99150","8635.65"
"NIFTY","26-Jul-2016","28-Jul-2016","PE","7900","0.8","0.8","0.6","0.7","0.6","0.7","9570","56707.19","4.94","1894725","-162075","8590.65"
"NIFTY","27-Jul-2016","28-Jul-2016","PE","7900","0.4","0.5","0.3","0.35","0.3","0.35","11669","69142.21","3.39","1732950","-161775","8615.8"
