"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","27-May-2016","25-Aug-2016","PE","8200","0","0","0","308.35","0","268.7","0","0","0","0","0","8156.65"
"NIFTY","30-May-2016","25-Aug-2016","PE","8200","205","205","198","203.35","203.35","203.35","14","88.21","2.11","900","900","8178.5"
"NIFTY","31-May-2016","25-Aug-2016","PE","8200","194","232.55","187","200","200","200","28","176.64","4.44","975","75","8160.1"
"NIFTY","01-Jun-2016","25-Aug-2016","PE","8200","213.55","213.55","191","199.85","199.05","199.85","50","314.82","7.32","3900","2925","8179.95"
"NIFTY","02-Jun-2016","25-Aug-2016","PE","8200","210.45","211.15","174","176.6","179.2","176.6","54","340","7.9","6375","2475","8218.95"
"NIFTY","03-Jun-2016","25-Aug-2016","PE","8200","171.5","181.8","170","178.85","178.55","178.85","28","175.89","3.69","6825","450","8220.8"
"NIFTY","06-Jun-2016","25-Aug-2016","PE","8200","176","182.15","167.45","169.65","172","169.65","1366","8577.2","176.3","89700","82875","8201.05"
"NIFTY","07-Jun-2016","25-Aug-2016","PE","8200","162","169.15","134.2","147.25","146.85","147.25","731","4577.91","82.26","116475","26775","8266.45"
"NIFTY","08-Jun-2016","25-Aug-2016","PE","8200","145.65","152.1","144.4","151.85","149.65","151.85","676","4232.88","75.48","122250","5775","8273.05"
"NIFTY","09-Jun-2016","25-Aug-2016","PE","8200","152","179.05","151.5","169.4","170.5","169.4","4045","25380.33","503.58","326700","204450","8203.6"
"NIFTY","10-Jun-2016","25-Aug-2016","PE","8200","172.6","192.3","145.1","186.4","182","186.4","334","2095.62","41.52","328725","2025","8170.05"
"NIFTY","13-Jun-2016","25-Aug-2016","PE","8200","223.65","231.4","198.15","204.4","208","204.4","134","846.14","22.04","331500","2775","8110.6"
"NIFTY","14-Jun-2016","25-Aug-2016","PE","8200","207","236","207","214.85","215.7","214.85","601","3796.05","99.9","365175","33675","8108.85"
"NIFTY","15-Jun-2016","25-Aug-2016","PE","8200","205","210","170","174.05","176","174.05","2464","15504.45","350.85","465150","99975","8206.6"
"NIFTY","16-Jun-2016","25-Aug-2016","PE","8200","191.1","236","191.1","200.5","199.55","200.5","198","1249.99","32.29","467250","2100","8140.75"
"NIFTY","17-Jun-2016","25-Aug-2016","PE","8200","180.8","204","180","195.4","197.55","195.4","144","906.43","20.83","474450","7200","8170.2"
"NIFTY","20-Jun-2016","25-Aug-2016","PE","8200","192.55","192.55","162.25","167","168.05","167","208","1306.12","26.92","486075","11625","8238.5"
"NIFTY","21-Jun-2016","25-Aug-2016","PE","8200","176.45","180","169","172.55","172.75","172.55","73","458.47","9.52","485850","-225","8219.9"
"NIFTY","22-Jun-2016","25-Aug-2016","PE","8200","170","194.85","160.85","182.05","183.8","182.05","102","640.73","13.43","485775","-75","8203.7"
"NIFTY","23-Jun-2016","25-Aug-2016","PE","8200","185.5","189","143.9","153.2","156.45","153.2","132","828.2","16.4","487500","1725","8270.45"
"NIFTY","24-Jun-2016","25-Aug-2016","PE","8200","250","328.1","201","230.55","230","230.55","354","2251.46","74.36","491400","3900","8088.6"
"NIFTY","27-Jun-2016","25-Aug-2016","PE","8200","237.25","243.55","213.8","219","218","219","72","455.35","12.55","491700","300","8094.7"
"NIFTY","28-Jun-2016","25-Aug-2016","PE","8200","215","220","187","198","198","198","121","762.74","18.59","490350","-1350","8127.85"
"NIFTY","29-Jun-2016","25-Aug-2016","PE","8200","180.7","192.8","154","158.75","157","158.75","526","3301.79","66.89","502125","11775","8204"
"NIFTY","30-Jun-2016","25-Aug-2016","PE","8200","135","148.9","122.55","126.85","125","126.85","1562","9763.03","156.73","504150","2025","8287.75"
"NIFTY","01-Jul-2016","25-Aug-2016","PE","8200","124","124","105.75","114.55","115","114.55","2003","12492.04","173.59","530925","26775","8328.35"
"NIFTY","04-Jul-2016","25-Aug-2016","PE","8200","115","116.95","94.25","101.1","100.35","101.1","2604","16210.88","196.28","552150","21225","8370.7"
"NIFTY","05-Jul-2016","25-Aug-2016","PE","8200","104.7","109.75","100.8","105.15","105","105.15","971","6048.76","77.11","545625","-6525","8335.95"
"NIFTY","07-Jul-2016","25-Aug-2016","PE","8200","108.05","110.65","91.85","101.9","99.2","101.9","1436","8941.17","109.77","548475","2850","8337.9"
"NIFTY","08-Jul-2016","25-Aug-2016","PE","8200","104.05","122.7","100","102.95","101.25","102.95","2098","13074.39","171.69","554775","6300","8323.2"
"NIFTY","11-Jul-2016","25-Aug-2016","PE","8200","81","84.05","60.1","61.6","62.05","61.6","5804","35974.94","280.34","678300","123525","8467.9"
"NIFTY","12-Jul-2016","25-Aug-2016","PE","8200","58.75","59.85","51","52.05","53.75","52.05","4615","28575.45","193.2","730050","51750","8521.05"
"NIFTY","13-Jul-2016","25-Aug-2016","PE","8200","52.05","59","52.05","55.35","57","55.35","4172","25830.73","172.93","754875","24825","8519.5"
"NIFTY","14-Jul-2016","25-Aug-2016","PE","8200","55.95","57.3","46.35","48.2","48.55","48.2","7616","47126.1","287.7","893175","138300","8565"
"NIFTY","15-Jul-2016","25-Aug-2016","PE","8200","47","55.95","46","48.95","49","48.95","7472","46238.39","285.59","920400","27225","8541.4"
"NIFTY","18-Jul-2016","25-Aug-2016","PE","8200","45","55.25","41.85","52.85","54.8","52.85","7301","45156.67","255.52","881700","-38700","8508.7"
"NIFTY","19-Jul-2016","25-Aug-2016","PE","8200","51","57.05","45.4","47","45.9","47","10234","63337.45","398.35","1007925","126225","8528.55"
"NIFTY","20-Jul-2016","25-Aug-2016","PE","8200","46.5","46.5","39","41.45","39.5","41.45","5640","34863.21","177.21","1089225","81300","8565.85"
"NIFTY","21-Jul-2016","25-Aug-2016","PE","8200","39.75","48","38.5","46.3","46.4","46.3","8813","54482.74","282.79","1174875","85650","8510.1"
"NIFTY","22-Jul-2016","25-Aug-2016","PE","8200","46.15","48.65","38.6","39.25","39.5","39.25","9343","57753.82","294.37","1233975","59100","8541.2"
"NIFTY","25-Jul-2016","25-Aug-2016","PE","8200","38.7","39.75","25.75","26.3","27.4","26.3","12670","78219.4","298.9","1414425","180450","8635.65"
"NIFTY","26-Jul-2016","25-Aug-2016","PE","8200","25.5","30.8","24.1","29.35","28.2","29.35","15720","96997.95","319.95","1481925","67500","8590.65"
"NIFTY","27-Jul-2016","25-Aug-2016","PE","8200","27.85","30.55","21.3","25.55","25.65","25.55","21039","129804.01","414.16","1696500","214575","8615.8"
"NIFTY","28-Jul-2016","25-Aug-2016","PE","8200","24.2","25.1","19","19.8","19.7","19.8","28163","173652.58","450.13","2060400","363900","8666.3"
"NIFTY","29-Jul-2016","25-Aug-2016","PE","8200","20.1","22.65","17.05","18.55","17.2","18.55","34601","213295.37","499.22","1993725","-66675","8638.5"
"NIFTY","01-Aug-2016","25-Aug-2016","PE","8200","15.8","21.65","11.6","17.05","16.15","17.05","54049","333059.92","658.57","2105625","111900","8636.55"
"NIFTY","02-Aug-2016","25-Aug-2016","PE","8200","15.65","20.4","11.9","19.6","18.55","19.6","40575","250054.58","518.33","2282400","176775","8622.9"
"NIFTY","03-Aug-2016","25-Aug-2016","PE","8200","18.05","28.95","18.05","26.85","26.85","26.85","61242","377729.03","1090.73","2460750","178350","8544.85"
