"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","03-Oct-2016","24-Nov-2016","PE","8200","64.4","66.05","43","43.7","44.35","43.7","3445","21316.08","129.33","435150","18300","8738.1"
"NIFTY","04-Oct-2016","24-Nov-2016","PE","8200","42.35","43.65","35.6","37.05","37","37.05","2454","15166.1","74","448275","13125","8769.15"
"NIFTY","05-Oct-2016","24-Nov-2016","PE","8200","34.8","47.5","34.6","38.8","39.9","38.8","2266","14001.06","65.16","441600","-6675","8743.95"
"NIFTY","06-Oct-2016","24-Nov-2016","PE","8200","37.6","43.95","31.95","40.65","40.4","40.65","2769","17107.54","78.19","471375","29775","8709.55"
"NIFTY","07-Oct-2016","24-Nov-2016","PE","8200","39.9","44.75","37.8","38.25","38.7","38.25","3329","20575.73","102.38","509700","38325","8697.6"
"NIFTY","10-Oct-2016","24-Nov-2016","PE","8200","32.55","34.75","29.8","30.9","31.05","30.9","2642","16311.22","62.92","527775","18075","8708.8"
"NIFTY","13-Oct-2016","24-Nov-2016","PE","8200","39.9","57.6","36.75","49.45","50.45","49.45","8724","53962.33","309.73","644250","116475","8573.35"
"NIFTY","14-Oct-2016","24-Nov-2016","PE","8200","47.1","49.9","41.75","43.35","42.7","43.35","7555","46719.66","256.41","762150","117900","8583.4"
"NIFTY","17-Oct-2016","24-Nov-2016","PE","8200","38.7","57.05","38.7","54.35","54.2","54.35","12073","74703.27","454.32","887175","125025","8520.4"
"NIFTY","18-Oct-2016","24-Nov-2016","PE","8200","46.65","46.65","26.6","27.7","29","27.7","17354","107184.28","457.18","1116825","229650","8677.9"
"NIFTY","19-Oct-2016","24-Nov-2016","PE","8200","28.3","33","26.25","28.85","29.2","28.85","10188","62879.89","223.69","1277700","160875","8659.1"
"NIFTY","20-Oct-2016","24-Nov-2016","PE","8200","28","28","21.6","23.05","22.75","23.05","7705","47520.57","134.82","1282275","4575","8699.4"
"NIFTY","21-Oct-2016","24-Nov-2016","PE","8200","24.1","25.3","19.55","20.4","20","20.4","6715","41411.91","114.66","1298025","15750","8693.05"
"NIFTY","24-Oct-2016","24-Nov-2016","PE","8200","21","21","13.7","17.4","17.15","17.4","9336","57533.61","117.21","1228200","-69825","8708.95"
"NIFTY","25-Oct-2016","24-Nov-2016","PE","8200","17","21.7","16.3","17.85","17.65","17.85","10215","62968.82","146.57","1409325","181125","8691.3"
"NIFTY","26-Oct-2016","24-Nov-2016","PE","8200","21.55","24.9","17.4","22.55","23.75","22.55","16059","99025.21","262.36","1371150","-38175","8615.25"
"NIFTY","27-Oct-2016","24-Nov-2016","PE","8200","24.65","29.8","20.2","21.15","21.7","21.15","44416","273987.2","828.8","2316600","945450","8615.25"
"NIFTY","28-Oct-2016","24-Nov-2016","PE","8200","24.95","27.95","18.7","21.8","21","21.8","40136","247532.45","696.05","2491500","174900","8638"
"NIFTY","30-Oct-2016","24-Nov-2016","PE","8200","24.75","28.1","23.45","26.85","27.05","26.85","8284","51107.08","160.48","2589150","97650","8625.7"
"NIFTY","01-Nov-2016","24-Nov-2016","PE","8200","25.05","26.75","19.55","23.4","23","23.4","31867","196529.69","547.64","2750925","161775","8000.0"
"NIFTY","02-Nov-2016","24-Nov-2016","PE","8200","29.7","42.9","29","38.8","38.8","38.8","62803","388026.09","1787.64","2971575","220650","8000.0"
"NIFTY","03-Nov-2016","24-Nov-2016","PE","8200","42.8","44","32.7","39.45","39","39.45","65269","403209.26","1804.91","3438450","466875","8000.0"
"NIFTY","04-Nov-2016","24-Nov-2016","PE","8200","40","61.6","35.7","51.1","51.95","51.1","134548","832364.06","4893.86","4686075","1247625","8433.75"
"NIFTY","07-Nov-2016","24-Nov-2016","PE","8200","28","39.9","28","35.9","39.5","35.9","63853","394320.36","1624.41","4809075","123000","8497.05"
"NIFTY","08-Nov-2016","24-Nov-2016","PE","8200","34.85","39.6","26","30.85","34","30.85","93613","578106.19","2386.24","5116050","306975","8543.55"
"NIFTY","09-Nov-2016","24-Nov-2016","PE","8200","48.8","156.7","29","38.4","37.05","38.4","507226","3150841.02","31401.12","5654025","537975","8432"
"NIFTY","10-Nov-2016","24-Nov-2016","PE","8200","26.4","26.95","12.3","17.05","18","17.05","158483","976550.04","1879.59","4888050","-765975","8525.75"
"NIFTY","11-Nov-2016","24-Nov-2016","PE","8200","27","70.8","22.15","65.25","67.6","65.25","274838","1700269.86","10016.16","4854000","-34050","8296.3"
"NIFTY","15-Nov-2016","24-Nov-2016","PE","8200","87","163.95","79.55","149.35","161.3","149.35","355366","2216759.37","31258.47","4221150","-632850","8108.45"
"NIFTY","16-Nov-2016","24-Nov-2016","PE","8200","102.05","160","89.4","147.8","158.2","147.8","179274","1119622.7","17087.6","3891825","-329325","8111.6"
"NIFTY","17-Nov-2016","24-Nov-2016","PE","8200","138.1","162","105.05","146.95","137","146.95","112579","703265.02","10904.17","3305400","-586425","8079.95"
"NIFTY","18-Nov-2016","24-Nov-2016","PE","8200","119","167.85","102.8","147.55","149.65","147.55","83637","522957.56","8590.01","2952900","-352500","8074.1"
"NIFTY","21-Nov-2016","24-Nov-2016","PE","8200","135","281.4","124.05","264.35","246.8","264.35","32457","204690.53","5079.98","2540250","-412650","7929.1"
"NIFTY","22-Nov-2016","24-Nov-2016","PE","8200","210.05","261","181.6","194.7","185","194.7","24658","155748.8","4102.1","1825875","-714375","8002.3"
"NIFTY","23-Nov-2016","24-Nov-2016","PE","8200","153.1","226.05","153.1","177.3","186.45","177.3","14231","89465.23","1944.58","1697775","-128100","8033.3"
"NIFTY","24-Nov-2016","24-Nov-2016","PE","8200","211.4","249.6","182","233.35","234.15","0","23806","150274.21","3867.31","1049175","-648600","7965.5"
