"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","01-Aug-2016","29-Sep-2016","PE","8300","56.05","71.25","50.95","62.95","62.5","62.95","6328","39675.62","283.82","803175","145800","8636.55"
"NIFTY","02-Aug-2016","29-Sep-2016","PE","8300","64.15","70","53.65","66.95","65.1","66.95","6045","37907.97","277.85","862425","59250","8622.9"
"NIFTY","03-Aug-2016","29-Sep-2016","PE","8300","69.55","91.4","68.8","86.95","87.95","86.95","6569","41280.29","388.27","987000","124575","8544.85"
"NIFTY","04-Aug-2016","29-Sep-2016","PE","8300","81","94.05","74.85","80.05","75.5","80.05","10321","64887.85","639.62","1080975","93975","8551.1"
"NIFTY","05-Aug-2016","29-Sep-2016","PE","8300","69.9","69.9","50","52.05","52.1","52.05","4041","25330.65","175.42","1081500","525","8683.15"
"NIFTY","08-Aug-2016","29-Sep-2016","PE","8300","42.35","50.5","42.05","45.55","46.45","45.55","3893","24369.44","135.51","1068750","-12750","8711.35"
"NIFTY","09-Aug-2016","29-Sep-2016","PE","8300","45.75","55.75","45.75","49.4","50","49.4","3698","23158.05","138","1045425","-23325","8678.25"
"NIFTY","10-Aug-2016","29-Sep-2016","PE","8300","46.9","69","46","66.6","66.85","66.6","5150","32301.41","242.66","1078875","33450","8575.3"
"NIFTY","11-Aug-2016","29-Sep-2016","PE","8300","68.35","72.35","55.75","58.65","56.55","58.65","4941","30993.63","235.9","1081200","2325","8592.15"
"NIFTY","12-Aug-2016","29-Sep-2016","PE","8300","53.65","53.65","41.4","43.95","45.4","43.95","6550","40995.54","221.79","1103025","21825","8672.15"
"NIFTY","16-Aug-2016","29-Sep-2016","PE","8300","42","56.5","41.55","44.05","45.25","44.05","5696","35663.15","205.55","1140900","37875","8642.55"
"NIFTY","17-Aug-2016","29-Sep-2016","PE","8300","46.25","53.75","40.1","51.65","51.9","51.65","8628","54015.16","305.86","1238850","97950","8624.05"
"NIFTY","18-Aug-2016","29-Sep-2016","PE","8300","45.55","46.75","38.2","42.85","43.55","42.85","10127","63357.65","317.08","1410075","171225","8673.25"
"NIFTY","19-Aug-2016","29-Sep-2016","PE","8300","41.1","44.65","38.4","41.8","41","41.8","9421","58942.55","296.83","1523475","113400","8666.9"
"NIFTY","22-Aug-2016","29-Sep-2016","PE","8300","42","45.95","36.7","40.45","40.95","40.45","19394","121322.06","594.41","1913175","389700","8629.15"
"NIFTY","23-Aug-2016","29-Sep-2016","PE","8300","40.45","44.2","31.55","34.4","32.3","34.4","16873","105512.17","477.75","2046150","132975","8632.6"
"NIFTY","24-Aug-2016","29-Sep-2016","PE","8300","32.55","37.25","29.3","30.2","29.95","30.2","20146","125913.16","504.31","2169675","123525","8650.3"
"NIFTY","25-Aug-2016","29-Sep-2016","PE","8300","32","35.8","25.1","33.9","33.3","33.9","37883","236677.02","855.34","2909325","739650","8592.2"
