"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","02-Sep-2016","27-Oct-2016","PE","8400","54.35","54.35","39.45","41.3","41.1","41.3","4570","28943.91","152.91","1031550","-18825","8809.65"
"NIFTY","06-Sep-2016","27-Oct-2016","PE","8400","35.35","35.6","24.35","25.5","24.55","25.5","4761","30100.73","106.43","1018575","-12975","8943"
"NIFTY","07-Sep-2016","27-Oct-2016","PE","8400","25","29.1","23.1","28.35","27.45","28.35","4053","25614.22","80.32","1008600","-9975","8917.95"
"NIFTY","08-Sep-2016","27-Oct-2016","PE","8400","28.55","29.2","24.7","25.35","25.75","25.35","2566","16217.39","51.59","1005825","-2775","8952.5"
"NIFTY","09-Sep-2016","27-Oct-2016","PE","8400","26.5","31.9","26.5","30.05","29.6","30.05","3567","22549.92","77.82","993075","-12750","8866.7"
"NIFTY","12-Sep-2016","27-Oct-2016","PE","8400","47.55","62.6","47.55","60.1","60","60.1","10514","66679.15","440.95","1030275","37200","8715.6"
"NIFTY","14-Sep-2016","27-Oct-2016","PE","8400","60.05","65.2","41.3","51.05","49.55","51.05","6432","40798.68","277.08","980175","-50100","8726.6"
"NIFTY","15-Sep-2016","27-Oct-2016","PE","8400","52.7","59.65","48.15","50.15","48.15","50.15","5594","35463.95","221.75","992850","12675","8742.55"
"NIFTY","16-Sep-2016","27-Oct-2016","PE","8400","42.25","48.65","32.3","42.55","41.9","42.55","7546","47766.17","226.37","1087950","95100","8779.85"
"NIFTY","19-Sep-2016","27-Oct-2016","PE","8400","38.6","42.9","35.65","36.45","36.45","36.45","3141","19878.09","89.79","1092600","4650","8808.4"
"NIFTY","20-Sep-2016","27-Oct-2016","PE","8400","36.9","41.15","35","35.7","36","35.7","2775","17559.72","77.22","1116150","23550","8775.9"
